Draw Date,Winning Numbers,Bonus #,Extra #
04/27/2024,18 22 33 37 54 57,27,
10/21/2023,18 25 27 30 48 53,46,
11/16/2022,18 36 39 57 58 59,34,
03/10/2021,18 23 24 31 40 58,47,
11/27/2019,18 31 32 40 43 53,22,
05/18/2019,18 21 23 46 54 59,52,
03/30/2019,18 25 43 51 52 56,12,
11/07/2018,18 24 37 50 58 59,6,
07/14/2018,18 27 31 35 36 45,17,
04/11/2018,18 19 31 33 40 46,8,
07/05/2017,18 19 21 30 54 56,50,
01/07/2017,18 22 29 37 43 52,19,
12/14/2016,18 19 32 38 49 54,9,
10/26/2016,18 22 41 45 49 56,16,
08/22/2012,18 27 30 35 49 53,42,
08/17/2011,18 20 34 37 42 56,5,
02/17/2010,18 22 31 49 50 58,43,54
12/23/2009,18 33 35 37 39 57,27,43
05/23/2009,18 23 29 35 42 59,21,27
10/08/2008,18 30 31 34 49 54,19,47
08/30/2008,18 20 22 28 40 56,21,33
01/09/2008,18 32 50 51 53 58,48,47
06/16/2007,18 25 31 36 46 56,3,5
05/13/2006,18 20 23 40 52 57,36,
04/05/2006,18 27 30 34 35 39,14,
06/08/2005,18 23 27 37 43 50,57,
03/12/2005,18 27 35 40 45 53,34,
08/04/2004,18 23 25 27 48 57,36,
04/14/2004,18 39 43 47 48 55,9,
10/18/2003,18 33 35 46 51 59,23,
07/24/2002,18 19 25 42 52 56,29,
07/17/2002,18 22 30 51 55 59,8,
02/02/2002,18 34 37 38 42 55,39,
