Draw Date,Winning Numbers,Bonus #,Extra #
01/22/2025,04 15 28 31 46 47,54,
01/15/2025,04 06 28 34 40 50,18,
01/11/2025,04 11 16 19 26 58,53,
01/08/2025,04 14 22 36 42 57,30,
12/07/2024,04 14 30 31 54 58,13,
05/08/2024,04 05 12 23 39 57,53,
04/10/2024,04 31 43 46 49 51,9,
03/13/2024,04 11 15 18 39 46,48,
02/24/2024,04 07 18 19 32 53,51,
12/16/2023,04 10 19 29 34 42,45,
12/09/2023,04 12 13 18 21 42,54,
11/18/2023,04 13 27 28 40 42,41,
10/04/2023,04 22 28 30 35 47,40,
06/17/2023,04 11 12 32 44 46,43,
05/10/2023,04 05 06 43 47 57,55,
03/04/2023,04 08 21 38 49 51,24,
02/22/2023,04 07 08 15 30 41,5,
12/17/2022,04 13 19 22 24 32,53,
12/03/2022,04 38 45 46 48 59,19,
11/30/2022,04 15 32 39 41 57,8,
08/20/2022,04 11 14 30 32 50,13,
06/08/2022,04 11 30 32 38 55,52,
06/04/2022,04 14 21 30 38 52,53,
03/26/2022,04 31 33 38 49 54,16,
01/26/2022,04 09 15 42 48 58,5,
10/13/2021,04 10 32 49 50 58,9,
09/01/2021,04 30 37 51 54 56,28,
08/25/2021,04 06 07 12 30 40,59,
07/31/2021,04 10 11 20 41 49,32,
07/28/2021,04 11 24 39 40 59,3,
07/10/2021,04 06 07 27 56 59,44,
04/03/2021,04 05 18 35 51 52,25,
02/20/2021,04 16 28 34 40 45,47,
01/27/2021,04 33 40 47 49 50,51,
01/16/2021,04 13 16 29 44 51,20,
09/12/2020,04 06 35 46 47 54,52,
05/27/2020,04 22 27 36 49 55,29,
04/08/2020,04 19 31 34 39 51,47,
02/26/2020,04 09 13 15 53 57,24,
11/13/2019,04 19 20 28 56 58,39,
11/09/2019,04 09 16 32 42 44,3,
11/06/2019,04 05 12 43 44 59,21,
09/21/2019,04 10 21 28 30 43,32,
07/17/2019,04 07 19 34 36 59,6,
07/10/2019,04 08 24 26 38 43,9,
07/06/2019,04 05 27 31 43 47,42,
05/11/2019,04 26 31 38 39 49,16,
04/10/2019,04 07 31 39 47 51,50,
04/03/2019,04 21 31 34 43 44,9,
03/20/2019,04 06 08 12 15 55,39,
10/20/2018,04 07 08 09 41 58,33,
10/03/2018,04 18 19 24 31 42,23,
07/25/2018,04 10 18 35 41 49,42,
07/18/2018,04 07 19 24 30 45,16,
05/02/2018,04 09 21 25 37 39,16,
03/28/2018,04 19 25 39 54 55,46,
02/28/2018,04 06 10 28 30 53,35,
01/24/2018,04 24 41 42 49 51,21,
12/06/2017,04 21 29 30 31 32,6,
11/22/2017,04 09 28 37 43 48,57,
11/04/2017,04 06 31 45 51 59,7,
07/15/2017,04 06 17 20 34 43,25,
06/14/2017,04 19 27 36 46 50,22,
05/13/2017,04 26 33 35 54 55,29,
04/19/2017,04 29 30 34 46 54,31,
04/15/2017,04 07 12 17 26 55,42,
04/08/2017,04 15 24 33 37 58,56,
02/25/2017,04 25 26 34 40 46,5,
12/24/2016,04 48 51 52 54 57,18,
09/21/2016,04 08 13 30 36 58,1,
09/10/2016,04 05 13 21 53 57,43,
08/20/2016,04 08 27 31 33 54,2,
07/27/2016,04 14 30 33 49 54,22,
07/13/2016,04 05 10 32 34 44,43,
06/29/2016,04 11 18 37 50 53,36,
03/23/2016,04 08 15 29 40 56,2,
03/16/2016,04 07 09 20 52 57,2,
02/17/2016,04 19 25 46 52 55,40,
12/30/2015,04 11 18 37 51 59,45,
12/19/2015,04 17 18 31 34 58,5,
12/09/2015,04 05 12 21 32 41,18,
07/25/2015,04 08 11 18 33 54,27,
06/20/2015,04 21 24 34 36 54,49,
03/18/2015,04 11 24 33 45 47,31,
02/28/2015,04 21 26 27 53 57,16,
02/07/2015,04 09 17 18 21 52,43,
12/31/2014,04 06 34 38 52 59,28,
10/11/2014,04 28 30 32 42 46,12,
09/13/2014,04 05 10 11 44 47,40,
08/13/2014,04 11 16 17 31 59,5,
08/09/2014,04 17 18 34 39 56,59,
05/28/2014,04 05 28 33 41 46,12,
05/17/2014,04 05 19 21 23 29,59,
03/26/2014,04 10 11 18 25 28,27,
03/19/2014,04 12 30 55 56 59,15,
02/12/2014,04 10 19 31 40 58,51,
12/14/2013,04 15 19 20 21 28,56,
11/06/2013,04 11 14 20 34 44,12,
10/23/2013,04 05 12 21 52 58,14,
10/05/2013,04 11 43 44 52 57,33,
09/18/2013,04 11 12 20 22 49,21,
09/14/2013,04 10 27 46 52 56,50,
06/01/2013,04 05 19 36 43 47,24,
02/16/2013,04 11 18 27 31 45,6,
01/19/2013,04 07 11 44 54 56,14,
10/20/2012,04 09 25 26 32 35,27,
09/15/2012,04 05 27 33 38 46,7,
04/07/2012,04 17 27 34 53 54,3,
02/25/2012,04 08 12 23 34 53,21,
02/01/2012,04 06 20 31 39 54,43,
01/28/2012,04 15 22 41 50 55,17,
01/18/2012,04 09 15 29 39 55,20,
10/12/2011,04 25 26 36 47 55,45,
05/25/2011,04 07 17 40 42 44,12,
05/21/2011,04 17 39 51 52 53,24,
05/18/2011,04 08 11 13 31 36,29,
05/11/2011,04 14 17 23 36 53,32,
03/23/2011,04 21 30 36 40 46,47,
02/05/2011,04 11 13 19 36 51,29,
01/05/2011,04 06 11 18 20 33,13,
12/22/2010,04 05 18 27 38 48,31,
12/15/2010,04 21 27 32 33 36,22,
10/02/2010,04 42 47 55 56 57,37,
09/22/2010,04 18 21 30 44 59,43,
07/03/2010,04 07 19 34 41 56,39,
06/30/2010,04 06 27 28 31 38,21,
05/29/2010,04 18 23 29 30 36,19,24
05/12/2010,04 09 10 23 28 49,21,7
05/01/2010,04 05 12 23 43 56,13,33
01/02/2010,04 28 29 37 43 56,52,38
12/09/2009,04 05 06 15 50 57,47,38
11/14/2009,04 11 28 34 42 43,35,57
10/24/2009,04 05 10 16 48 53,15,51
05/13/2009,04 24 38 40 47 48,25,18
03/14/2009,04 18 36 42 43 47,11,15
02/21/2009,04 11 35 52 56 57,30,43
02/18/2009,04 38 39 45 46 47,3,27
07/09/2008,04 08 19 34 47 54,1,37
05/17/2008,04 09 25 40 52 57,54,34
04/05/2008,04 11 26 31 37 49,33,24
03/08/2008,04 21 32 39 44 47,7,17
09/26/2007,04 05 17 32 50 58,14,6
08/18/2007,04 09 22 26 39 50,51,53
07/28/2007,04 25 38 40 43 48,45,50
05/23/2007,04 12 13 22 31 50,9,44
04/14/2007,04 05 10 14 16 33,30,3
03/10/2007,04 19 22 30 34 38,54,58
02/07/2007,04 20 29 32 45 53,48,
12/23/2006,04 07 18 28 40 58,51,
12/20/2006,04 19 20 21 23 45,39,
11/04/2006,04 08 12 23 49 52,30,
06/17/2006,04 11 21 34 38 44,26,
06/03/2006,04 07 25 31 43 45,40,
05/03/2006,04 08 10 13 15 22,3,
04/08/2006,04 41 42 48 51 55,58,
11/02/2005,04 17 36 43 51 55,41,
10/29/2005,04 25 26 35 36 54,9,
10/01/2005,04 09 14 16 37 53,26,
09/28/2005,04 06 10 12 43 46,30,
08/06/2005,04 26 28 30 37 46,59,
06/29/2005,04 22 40 41 43 44,47,
06/25/2005,04 08 25 29 54 57,27,
04/02/2005,04 36 39 52 53 54,15,
10/16/2004,04 12 13 15 27 43,40,
09/15/2004,04 08 26 28 31 44,11,
08/18/2004,04 19 24 29 47 56,1,
06/16/2004,04 19 27 29 36 50,9,
06/12/2004,04 29 31 32 48 54,40,
04/10/2004,04 07 23 39 56 59,42,
02/21/2004,04 14 21 23 30 39,2,
11/29/2003,04 15 28 29 30 55,31,
09/10/2003,04 22 25 53 54 58,14,
06/25/2003,04 14 21 29 35 53,38,
06/07/2003,04 10 22 34 40 54,56,
05/21/2003,04 17 25 31 42 45,50,
05/03/2003,04 18 40 45 52 56,7,
04/09/2003,04 19 22 25 43 44,2,
03/12/2003,04 31 35 42 46 58,40,
01/11/2003,04 12 14 27 29 35,36,
01/04/2003,04 28 36 37 54 56,8,
11/27/2002,04 17 35 39 43 45,11,
11/23/2002,04 12 13 17 49 58,35,
11/20/2002,04 09 17 21 43 57,56,
09/18/2002,04 10 23 47 53 58,38,
08/21/2002,04 06 07 20 44 57,24,
08/17/2002,04 06 19 24 33 41,35,
08/03/2002,04 10 28 35 38 55,33,
07/06/2002,04 20 26 30 54 58,46,
06/01/2002,04 44 46 49 54 59,40,
05/04/2002,04 08 14 27 44 50,25,
03/13/2002,04 07 19 21 26 56,35,
02/23/2002,04 24 30 37 40 45,27,
02/20/2002,04 05 10 46 50 56,25,
