Draw Date,Winning Numbers,Bonus #,Extra #
12/14/2024,09 11 19 42 49 59,38,
10/19/2024,09 21 22 47 52 53,58,
10/12/2024,09 10 16 31 35 50,20,
10/09/2024,09 17 18 29 32 40,48,
08/10/2024,09 29 38 40 48 57,50,
05/22/2024,09 21 25 28 42 56,14,
02/28/2024,09 10 11 35 44 59,17,
06/03/2023,09 10 24 32 50 57,25,
03/18/2023,09 18 34 37 43 50,58,
12/31/2022,09 10 13 35 36 55,26,
11/19/2022,09 12 24 28 30 41,50,
09/10/2022,09 30 32 51 55 57,40,
06/25/2022,09 12 26 36 41 53,42,
11/03/2021,09 10 27 28 35 41,57,
03/31/2021,09 30 32 46 49 53,22,
12/26/2020,09 13 20 36 58 59,16,
10/24/2020,09 10 15 24 25 57,34,
01/29/2020,09 15 17 37 52 53,27,
10/05/2019,09 22 32 45 54 59,24,
07/13/2019,09 12 14 21 44 55,6,
11/21/2018,09 24 34 35 57 58,33,
09/29/2018,09 13 35 41 42 51,52,
08/04/2018,09 20 24 31 32 53,22,
06/30/2018,09 15 21 35 49 56,42,
06/09/2018,09 10 20 28 32 37,11,
04/21/2018,09 19 20 21 45 47,37,
08/23/2017,09 23 34 37 52 56,8,
06/17/2017,09 16 18 34 45 51,38,
05/31/2017,09 12 29 30 43 59,3,
04/29/2017,09 24 34 40 47 59,20,
04/22/2017,09 28 31 45 49 50,57,
02/18/2017,09 26 28 34 36 57,47,
01/14/2017,09 13 16 23 35 58,46,
11/02/2016,09 21 24 26 50 54,40,
08/10/2016,09 12 14 17 26 28,43,
08/03/2016,09 16 22 27 46 51,57,
06/01/2016,09 13 15 25 38 56,35,
03/05/2016,09 37 38 41 46 58,15,
01/16/2016,09 23 39 41 48 52,56,
12/12/2015,09 10 11 19 41 58,6,
04/25/2015,09 18 24 34 49 58,44,
12/20/2014,09 17 20 27 32 42,19,
09/24/2014,09 10 25 26 35 44,37,
07/30/2014,09 10 21 43 44 50,58,
07/12/2014,09 12 17 38 45 46,51,
06/21/2014,09 19 31 54 57 59,58,
04/30/2014,09 10 12 23 52 58,14,
03/12/2014,09 11 14 16 49 57,55,
02/22/2014,09 10 29 38 40 46,17,
01/01/2014,09 14 24 26 35 55,46,
08/03/2013,09 11 17 25 42 44,10,
07/31/2013,09 19 20 42 46 55,28,
06/08/2013,09 17 35 42 53 57,22,
04/17/2013,09 19 26 33 34 51,8,
02/09/2013,09 18 20 40 46 55,41,
02/02/2013,09 20 35 51 55 59,48,
01/30/2013,09 22 35 47 48 57,59,
09/19/2012,09 36 38 43 46 49,26,
02/18/2012,09 17 35 43 45 53,6,
11/26/2011,09 17 19 44 46 53,7,
09/14/2011,09 15 19 27 46 54,42,
07/09/2011,09 14 35 44 55 58,4,
06/15/2011,09 13 14 29 32 51,43,
03/26/2011,09 23 27 37 41 45,43,
08/28/2010,09 22 24 42 45 57,19,
08/25/2010,09 12 26 49 52 55,47,
08/11/2010,09 21 28 30 35 51,27,
07/14/2010,09 23 34 37 53 56,47,
04/03/2010,09 12 13 14 27 46,38,50
01/09/2010,09 15 21 23 31 46,5,30
11/28/2009,09 39 45 49 57 59,26,32
09/23/2009,09 15 22 33 34 38,10,52
09/19/2009,09 22 43 47 51 53,32,41
08/05/2009,09 30 39 44 47 50,31,15
04/22/2009,09 11 20 23 39 53,50,52
03/25/2009,09 12 35 36 47 55,56,34
03/18/2009,09 19 21 22 28 32,26,48
08/23/2008,09 27 30 34 50 53,45,18
06/14/2008,09 14 26 27 51 55,28,41
03/01/2008,09 13 27 28 34 46,57,47
08/22/2007,09 16 41 45 49 53,13,23
07/14/2007,09 14 18 21 41 58,48,29
09/27/2006,09 19 21 51 53 58,10,
09/02/2006,09 13 30 34 44 46,33,
08/26/2006,09 22 28 35 43 46,3,
08/19/2006,09 10 22 24 32 58,38,
07/12/2006,09 16 32 42 53 57,11,
06/14/2006,09 25 35 42 48 57,12,
05/31/2006,09 10 21 26 34 49,3,
12/07/2005,09 16 38 44 51 58,48,
11/26/2005,09 15 17 24 31 44,8,
04/13/2005,09 13 16 27 50 56,42,
02/26/2005,09 23 26 38 46 51,49,
10/13/2004,09 18 27 47 51 53,20,
09/18/2004,09 10 13 22 30 39,57,
04/03/2004,09 38 40 41 48 54,16,
06/28/2003,09 16 22 28 49 50,24,
10/30/2002,09 20 21 28 32 50,41,
09/04/2002,09 12 18 33 36 50,38,
08/28/2002,09 35 41 45 54 55,43,
05/22/2002,09 12 13 14 23 53,43,
03/27/2002,09 16 20 32 34 41,3,
01/30/2002,09 16 21 28 30 48,49,
11/10/2001,09 10 20 34 55 56,8,
