Draw Date,Winning Numbers,Bonus #,Extra #
01/18/2025,02 03 13 36 43 50,37,
12/21/2024,02 08 11 33 45 47,18,
10/26/2024,02 18 24 35 49 50,33,
10/02/2024,02 38 39 42 48 51,19,
08/07/2024,02 09 20 22 32 46,56,
07/27/2024,02 04 06 13 46 51,30,
06/19/2024,02 08 09 29 39 49,17,
03/20/2024,02 12 46 51 53 55,5,
03/09/2024,02 19 23 28 37 48,42,
03/06/2024,02 10 28 30 39 52,7,
01/27/2024,02 05 14 24 27 30,15,
11/01/2023,02 20 35 38 39 47,19,
09/27/2023,02 07 13 15 27 42,31,
06/21/2023,02 14 25 29 34 58,19,
05/24/2023,02 10 21 31 32 46,16,
04/05/2023,02 23 25 47 51 54,31,
03/22/2023,02 13 32 38 52 57,33,
02/15/2023,02 22 24 27 29 32,50,
02/11/2023,02 07 16 50 56 57,59,
02/04/2023,02 14 28 29 49 50,16,
02/01/2023,02 04 06 16 23 32,39,
01/25/2023,02 17 21 47 55 58,28,
12/28/2022,02 14 18 37 38 56,4,
10/26/2022,02 24 28 38 45 59,47,
10/19/2022,02 17 23 34 49 50,32,
10/12/2022,02 11 27 28 40 50,1,
10/01/2022,02 06 16 33 35 52,44,
08/17/2022,02 35 36 37 43 49,56,
08/03/2022,02 11 23 25 44 57,33,
07/30/2022,02 10 17 18 21 41,4,
07/06/2022,02 10 17 24 26 39,57,
06/22/2022,02 26 29 33 34 37,45,
10/02/2021,02 07 08 20 23 57,22,
09/29/2021,02 14 19 38 41 53,9,
08/11/2021,02 25 26 40 43 58,9,
07/14/2021,02 20 33 50 56 58,47,
06/26/2021,02 11 14 20 23 29,36,
05/12/2021,02 39 40 43 53 57,35,
04/07/2021,02 06 07 20 24 43,53,
02/27/2021,02 10 11 13 18 36,43,
02/03/2021,02 11 13 29 42 59,26,
01/06/2021,02 04 11 45 48 58,12,
01/02/2021,02 29 31 35 39 48,10,
09/05/2020,02 19 21 27 36 54,8,
08/15/2020,02 06 10 17 23 44,7,
07/15/2020,02 07 18 28 33 56,15,
05/06/2020,02 04 17 44 46 58,3,
02/22/2020,02 08 09 48 57 59,33,
02/15/2020,02 07 38 41 45 59,32,
10/16/2019,02 07 09 11 40 54,35,
09/11/2019,02 09 10 35 58 59,26,
08/31/2019,02 11 29 30 43 44,50,
08/03/2019,02 18 21 39 53 58,16,
07/31/2019,02 07 20 23 26 47,33,
06/29/2019,02 03 14 20 29 37,51,
04/24/2019,02 28 37 43 46 49,1,
04/20/2019,02 10 16 17 47 58,33,
04/17/2019,02 03 18 30 52 53,28,
02/16/2019,02 04 39 46 51 58,9,
01/16/2019,02 10 40 43 48 52,37,
12/29/2018,02 16 18 27 29 35,19,
12/26/2018,02 08 16 22 45 46,27,
12/08/2018,02 26 30 31 38 59,20,
11/28/2018,02 03 21 23 35 57,17,
08/15/2018,02 36 42 53 54 55,33,
07/07/2018,02 15 20 53 54 58,42,
06/20/2018,02 03 16 27 32 34,29,
06/02/2018,02 18 27 29 37 59,31,
05/05/2018,02 16 17 38 41 42,51,
04/07/2018,02 05 10 23 31 53,4,
03/17/2018,02 10 13 23 31 46,21,
03/03/2018,02 04 21 34 37 48,29,
02/14/2018,02 07 18 23 37 48,34,
02/10/2018,02 06 11 19 35 42,53,
02/03/2018,02 29 51 54 55 57,36,
01/27/2018,02 06 16 37 53 54,17,
12/27/2017,02 12 35 39 43 49,1,
12/02/2017,02 03 26 40 41 55,58,
11/25/2017,02 14 21 23 38 44,10,
11/08/2017,02 15 20 26 43 44,49,
10/14/2017,02 04 14 17 25 49,46,
09/13/2017,02 28 35 45 49 54,42,
09/09/2017,02 14 19 54 56 58,37,
04/12/2017,02 10 38 50 53 57,30,
01/28/2017,02 03 18 35 56 58,28,
11/16/2016,02 21 25 26 40 57,10,
10/19/2016,02 17 25 36 40 46,9,
10/08/2016,02 09 29 40 55 57,8,
07/20/2016,02 26 32 40 43 59,53,
06/08/2016,02 16 22 44 56 59,18,
02/20/2016,02 24 26 36 43 55,5,
10/10/2015,02 17 26 39 40 41,21,
09/30/2015,02 03 23 31 37 55,26,
09/16/2015,02 31 36 40 46 51,7,
09/09/2015,02 05 08 24 28 41,7,
08/15/2015,02 21 40 42 49 53,20,
07/29/2015,02 15 18 20 47 58,12,
06/17/2015,02 04 18 39 55 56,16,
05/27/2015,02 09 21 25 45 54,14,
05/09/2015,02 20 35 37 41 52,22,
04/22/2015,02 04 14 20 33 49,56,
03/21/2015,02 12 16 22 28 31,27,
01/17/2015,02 31 47 48 50 52,53,
01/14/2015,02 15 16 29 37 53,40,
11/08/2014,02 17 23 26 50 58,10,
10/25/2014,02 15 23 29 30 49,38,
10/15/2014,02 06 25 35 56 59,37,
09/10/2014,02 09 10 22 35 42,23,
09/03/2014,02 21 34 41 52 59,32,
07/02/2014,02 18 25 28 30 35,13,
05/31/2014,02 12 19 29 46 50,54,
05/14/2014,02 03 12 14 16 38,9,
04/26/2014,02 11 12 47 49 57,20,
04/09/2014,02 10 19 27 30 35,22,
03/22/2014,02 07 24 36 53 57,56,
03/08/2014,02 10 15 31 34 56,14,
02/19/2014,02 09 10 31 40 52,30,
02/15/2014,02 10 17 31 35 41,33,
02/05/2014,02 13 17 19 30 43,35,
10/19/2013,02 09 20 22 55 57,47,
09/07/2013,02 14 18 29 36 55,21,
08/28/2013,02 12 28 43 52 57,35,
07/24/2013,02 15 17 39 51 52,5,
07/13/2013,02 09 14 16 23 27,49,
06/19/2013,02 11 19 20 26 52,5,
06/15/2013,02 07 10 33 39 44,54,
05/18/2013,02 03 07 14 15 43,28,
03/06/2013,02 13 22 30 47 56,31,
01/09/2013,02 21 29 35 40 43,8,
01/02/2013,02 03 08 12 31 55,32,
12/12/2012,02 05 27 32 38 50,51,
11/21/2012,02 03 16 17 23 43,35,
10/17/2012,02 05 07 27 28 53,39,
10/10/2012,02 06 15 32 50 53,12,
09/08/2012,02 09 25 31 39 42,49,
09/05/2012,02 14 37 43 44 49,40,
08/29/2012,02 11 20 31 48 54,43,
05/19/2012,02 17 22 30 35 49,45,
05/02/2012,02 08 26 41 47 55,21,
03/17/2012,02 06 10 20 43 58,23,
02/11/2012,02 18 29 38 46 59,49,
09/28/2011,02 11 12 21 36 50,4,
08/20/2011,02 09 19 42 43 54,8,
07/23/2011,02 39 41 53 54 56,46,
05/28/2011,02 03 07 09 12 57,14,
04/16/2011,02 08 20 42 54 59,55,
02/02/2011,02 12 16 17 40 57,26,
01/26/2011,02 10 19 22 23 46,9,
11/03/2010,02 15 27 28 31 35,58,
10/20/2010,02 43 48 50 53 54,58,
09/08/2010,02 03 21 25 45 53,44,
05/26/2010,02 08 14 33 34 57,47,23
05/19/2010,02 04 09 13 26 45,14,30
04/24/2010,02 07 08 42 44 48,43,24
03/03/2010,02 17 30 38 43 53,27,15
02/06/2010,02 11 32 42 47 48,28,54
12/26/2009,02 18 32 35 51 52,48,50
10/31/2009,02 15 17 21 24 42,41,28
07/25/2009,02 08 21 34 35 40,59,53
07/01/2009,02 35 40 55 56 59,3,12
05/09/2009,02 06 35 39 46 47,13,33
04/25/2009,02 07 18 29 31 49,19,54
03/21/2009,02 05 08 29 33 50,56,52
03/11/2009,02 08 12 27 30 37,56,49
12/31/2008,02 07 13 26 32 47,45,39
09/27/2008,02 08 13 43 45 53,51,28
08/09/2008,02 08 17 18 40 47,23,7
07/19/2008,02 25 32 53 55 57,20,33
04/19/2008,02 06 16 17 25 59,13,14
04/12/2008,02 11 12 16 32 49,3,19
02/02/2008,02 09 16 18 49 54,10,30
01/19/2008,02 04 06 31 32 34,42,24
11/07/2007,02 13 19 20 36 46,53,49
09/22/2007,02 05 15 34 38 57,32,25
08/29/2007,02 08 23 35 41 54,51,45
08/25/2007,02 04 24 31 36 50,51,19
07/25/2007,02 17 19 42 44 47,58,43
06/27/2007,02 05 27 30 38 48,6,32
05/19/2007,02 10 42 45 50 51,39,18
05/09/2007,02 13 24 32 38 54,39,21
05/02/2007,02 03 19 44 47 57,36,31
03/24/2007,02 04 05 22 23 45,51,49
02/28/2007,02 11 14 16 43 59,23,
09/06/2006,02 13 24 45 52 53,22,
08/02/2006,02 03 16 26 43 52,57,
07/05/2006,02 03 15 26 39 56,41,
06/10/2006,02 12 15 53 55 59,17,
06/07/2006,02 03 06 31 39 48,23,
05/17/2006,02 04 16 18 47 49,32,
04/19/2006,02 11 12 47 49 50,36,
03/04/2006,02 06 08 11 51 59,53,
12/28/2005,02 04 09 17 46 52,24,
10/26/2005,02 21 38 50 52 53,44,
08/24/2005,02 08 24 42 44 58,56,
08/03/2005,02 16 17 18 42 50,59,
05/21/2005,02 19 31 39 47 54,52,
04/16/2005,02 07 30 52 53 58,28,
03/23/2005,02 03 11 24 38 54,47,
12/04/2004,02 11 12 20 36 49,27,
11/27/2004,02 04 19 23 49 51,8,
11/17/2004,02 10 17 26 35 53,27,
11/13/2004,02 04 09 23 30 34,55,
10/02/2004,02 40 42 52 54 57,4,
08/11/2004,02 37 41 46 47 50,35,
07/31/2004,02 21 22 34 48 59,23,
07/17/2004,02 05 25 46 52 56,33,
04/28/2004,02 03 06 15 20 55,22,
03/10/2004,02 11 14 17 34 38,5,
01/31/2004,02 05 11 33 50 54,32,
01/24/2004,02 05 13 18 28 36,45,
11/12/2003,02 26 32 35 44 52,37,
06/11/2003,02 13 22 30 53 55,33,
04/30/2003,02 05 30 32 45 46,51,
04/23/2003,02 10 18 25 38 40,4,
04/16/2003,02 09 13 19 24 46,43,
03/19/2003,02 07 31 33 48 55,42,
01/18/2003,02 10 33 39 41 52,36,
12/18/2002,02 24 38 49 55 57,14,
11/02/2002,02 05 11 24 45 52,6,
10/05/2002,02 09 10 16 24 44,43,
08/07/2002,02 15 23 39 54 56,13,
06/29/2002,02 15 20 24 48 53,56,
04/20/2002,02 08 17 23 27 55,1,
04/17/2002,02 11 15 19 23 56,14,
04/10/2002,02 08 11 16 37 54,49,
04/03/2002,02 19 26 33 50 58,59,
02/06/2002,02 03 30 43 55 59,24,
12/26/2001,02 18 21 38 39 44,13,
12/15/2001,02 09 18 26 36 57,39,
12/01/2001,02 14 15 21 48 51,36,
