Draw Date,Winning Numbers,Bonus #,Extra #
12/04/2024,27 35 41 46 47 55,17,
10/16/2024,23 39 41 51 54 56,33,
06/26/2024,25 27 43 45 48 51,6,
05/25/2024,22 23 40 45 53 57,56,
02/07/2024,21 40 42 44 53 55,54,
11/29/2023,20 21 36 41 54 59,32,
11/11/2023,26 29 41 43 44 50,20,
10/07/2023,26 34 41 43 55 57,54,
09/30/2023,23 31 37 49 51 57,4,
08/12/2023,23 32 35 36 39 44,34,
07/19/2023,21 23 28 34 45 58,29,
04/12/2023,23 24 25 34 36 37,16,
01/11/2023,21 25 31 43 45 54,32,
10/29/2022,23 25 39 47 51 52,30,
07/27/2022,22 24 33 34 43 49,30,
07/16/2022,20 22 27 37 42 56,14,
07/09/2022,24 25 33 51 52 59,50,
05/18/2022,23 25 31 50 51 54,47,
05/14/2022,20 22 24 25 29 51,35,
11/20/2021,20 23 25 39 40 46,21,
10/30/2021,23 27 30 36 50 57,22,
10/27/2021,20 25 26 29 38 39,41,
08/18/2021,23 30 34 35 47 57,10,
07/07/2021,21 32 34 37 43 44,54,
05/19/2021,27 29 32 44 49 58,1,
05/08/2021,29 34 36 40 47 54,12,
05/05/2021,20 22 28 30 51 54,14,
01/23/2021,28 44 45 52 56 57,54,
01/20/2021,23 26 42 52 54 55,47,
11/21/2020,27 36 40 43 45 53,46,
09/16/2020,21 43 44 45 53 55,57,
07/08/2020,25 27 42 45 56 58,37,
06/10/2020,23 46 50 52 56 59,37,
06/03/2020,24 27 46 54 55 56,17,
05/09/2020,21 29 32 37 38 55,43,
04/15/2020,20 33 34 39 40 53,2,
12/21/2019,24 28 39 42 48 52,30,
11/02/2019,23 31 38 46 48 49,52,
10/30/2019,24 29 39 47 52 53,26,
08/17/2019,25 31 34 42 49 53,44,
07/03/2019,27 31 37 48 49 54,25,
02/06/2019,24 26 33 35 37 52,22,
02/02/2019,20 30 39 45 46 53,44,
01/26/2019,20 24 27 34 35 59,56,
01/05/2019,28 33 38 45 54 57,59,
01/02/2019,22 23 34 36 49 55,4,
12/22/2018,28 37 40 41 48 59,44,
09/15/2018,25 28 33 36 37 59,32,
08/11/2018,25 28 29 47 51 58,59,
11/15/2017,28 35 37 39 53 54,57,
10/04/2017,23 43 52 54 57 58,34,
09/27/2017,27 32 40 49 50 54,34,
09/06/2017,23 33 39 49 53 57,19,
07/01/2017,20 32 40 46 52 54,16,
06/03/2017,22 23 31 33 46 52,17,
11/09/2016,21 23 25 28 46 59,44,
07/06/2016,23 25 36 43 46 48,2,
04/27/2016,20 31 41 43 48 59,46,
03/02/2016,27 35 36 43 52 54,21,
01/13/2016,20 31 34 40 42 54,11,
01/06/2016,21 22 29 32 39 47,15,
11/21/2015,22 25 34 40 45 46,56,
06/03/2015,22 23 28 39 51 52,30,
04/15/2015,23 35 37 52 55 58,26,
02/11/2015,22 24 37 39 44 48,34,
01/03/2015,22 23 28 30 41 45,43,
12/27/2014,24 28 39 45 46 47,33,
12/13/2014,25 32 45 51 54 55,39,
12/06/2014,21 30 33 41 50 58,8,
11/01/2014,27 29 30 42 48 59,25,
09/27/2014,23 31 34 41 47 53,14,
07/19/2014,28 32 36 37 39 47,50,
05/07/2014,20 21 29 32 45 48,41,
04/23/2014,23 37 41 43 45 47,8,
12/28/2013,20 26 36 43 45 58,34,
12/25/2013,22 27 28 38 46 55,6,
11/16/2013,27 30 32 44 58 59,39,
10/09/2013,27 35 42 45 55 59,26,
09/04/2013,25 26 27 32 35 50,12,
07/17/2013,25 29 40 41 49 56,59,
04/27/2013,29 31 38 42 52 58,36,
03/27/2013,23 34 41 48 57 59,26,
11/24/2012,20 31 33 41 48 56,50,
10/06/2012,26 27 28 32 47 59,53,
10/03/2012,22 24 37 45 52 56,17,
07/11/2012,23 25 31 36 42 59,22,
06/16/2012,20 34 36 40 41 51,43,
06/13/2012,23 36 38 39 42 44,56,
04/11/2012,21 32 37 43 48 57,56,
03/28/2012,23 31 37 45 46 51,8,
03/03/2012,29 30 31 35 47 57,59,
01/11/2012,20 33 49 51 52 56,17,
12/28/2011,21 24 26 41 53 57,1,
09/21/2011,25 26 28 35 49 55,22,
06/22/2011,29 38 39 43 53 57,47,
12/18/2010,23 34 36 40 52 53,25,
09/18/2010,21 23 26 42 51 58,28,
07/21/2010,22 28 35 39 52 55,11,
07/07/2010,28 29 37 45 50 59,25,
02/20/2010,28 35 36 43 44 53,37,51
02/13/2010,27 45 46 52 53 55,18,58
02/03/2010,23 24 43 44 55 57,51,8
10/21/2009,26 29 43 51 52 54,45,12
10/03/2009,26 28 37 38 57 58,1,4
09/09/2009,22 27 36 43 48 56,30,55
09/02/2009,23 24 30 35 45 54,14,43
