Draw Date,Winning Numbers,Bonus #,Extra #
05/04/2024,35 45 46 50 52 56,3,
01/10/2024,39 41 42 44 47 53,1,
10/28/2023,31 32 38 51 57 58,54,
06/28/2023,32 34 49 52 57 58,5,
02/18/2023,32 47 49 52 58 59,46,
10/15/2022,37 41 43 47 50 56,24,
03/16/2022,34 42 48 51 56 59,6,
07/24/2021,31 50 52 53 54 59,35,
07/17/2021,30 34 46 47 56 58,23,
11/25/2020,33 41 45 50 54 56,6,
04/04/2020,33 42 46 48 50 55,54,
11/16/2019,31 34 35 47 48 56,1,
04/27/2019,31 33 48 52 55 59,13,
03/27/2019,34 36 38 40 41 55,27,
01/19/2019,38 40 43 48 58 59,7,
01/13/2018,30 46 47 48 56 59,1,
06/28/2017,30 32 35 40 50 58,36,
06/22/2016,31 40 42 48 49 57,20,
12/04/2013,34 42 43 44 48 55,45,
12/01/2012,30 35 39 48 50 59,5,
07/21/2012,30 34 42 50 53 55,25,
06/01/2011,32 38 44 45 55 57,6,
06/16/2010,39 40 43 53 54 57,51,
06/13/2009,33 35 37 47 48 58,21,40
12/03/2008,31 36 38 41 44 48,13,43
02/18/2006,31 41 45 46 49 50,39,
08/20/2005,31 32 34 48 54 55,44,
12/22/2004,31 33 41 50 51 54,8,
08/21/2004,30 32 47 54 55 57,3,
04/17/2004,38 45 47 49 51 56,42,
