Draw Date,Winning Numbers,Bonus #,Extra #
02/07/2024,21 40 42 44 53 55,54,
07/19/2023,21 23 28 34 45 58,29,
01/11/2023,21 25 31 43 45 54,32,
07/07/2021,21 32 34 37 43 44,54,
09/16/2020,21 43 44 45 53 55,57,
05/09/2020,21 29 32 37 38 55,43,
11/09/2016,21 23 25 28 46 59,44,
01/06/2016,21 22 29 32 39 47,15,
12/06/2014,21 30 33 41 50 58,8,
04/11/2012,21 32 37 43 48 57,56,
12/28/2011,21 24 26 41 53 57,1,
09/18/2010,21 23 26 42 51 58,28,
11/14/2007,21 23 28 38 42 47,44,29
10/03/2007,21 26 36 39 51 54,49,56
05/20/2006,21 23 31 40 42 52,18,
04/26/2006,21 27 49 55 58 59,52,
03/18/2006,21 27 29 33 39 44,47,
05/07/2005,21 30 32 38 46 53,23,
01/05/2005,21 27 28 52 56 57,39,
11/22/2003,21 24 31 35 45 54,44,
03/26/2003,21 32 38 47 48 58,46,
02/01/2003,21 29 38 39 51 54,35,
03/30/2002,21 24 36 38 41 47,2,
11/17/2001,21 27 29 34 41 48,37,
09/29/2001,21 25 27 39 44 56,45,
09/22/2001,21 25 39 50 54 59,53,
