Draw Date,Winning Numbers,Bonus #,Extra #
12/11/2024,11 18 25 38 48 56,54,
11/27/2024,11 27 34 35 42 51,53,
11/13/2024,11 15 38 44 46 55,54,
08/17/2024,11 22 30 37 43 46,19,
08/03/2024,11 28 30 44 47 59,10,
04/24/2024,11 32 38 41 52 57,49,
02/17/2024,11 18 33 34 39 56,50,
10/11/2023,11 12 16 25 41 49,5,
05/03/2023,11 20 32 43 53 59,10,
04/19/2023,11 13 14 31 45 54,6,
03/15/2023,11 23 24 28 30 31,42,
11/12/2022,11 12 15 19 37 51,55,
05/07/2022,11 18 19 29 45 46,17,
04/02/2022,11 12 17 25 44 50,30,
02/02/2022,11 13 32 34 46 53,3,
01/29/2022,11 29 33 41 42 45,58,
12/18/2021,11 26 35 39 44 52,48,
08/04/2021,11 13 14 27 28 46,52,
03/13/2021,11 15 18 31 42 58,27,
02/24/2021,11 19 20 23 53 54,49,
10/07/2020,11 13 19 37 50 55,8,
09/23/2020,11 14 22 29 36 46,30,
08/12/2020,11 16 21 22 34 43,7,
03/28/2020,11 12 32 41 43 59,20,
03/13/2019,11 15 29 38 52 54,57,
10/31/2018,11 27 41 51 52 53,9,
09/26/2018,11 27 29 35 45 59,31,
09/12/2018,11 20 28 43 57 59,24,
08/22/2018,11 14 46 48 57 59,22,
08/08/2018,11 16 29 43 55 57,37,
06/16/2018,11 20 21 30 44 55,15,
03/10/2018,11 14 22 40 43 46,57,
07/22/2017,11 23 28 37 40 41,54,
01/21/2017,11 31 44 45 48 53,50,
06/04/2016,11 17 25 27 47 48,56,
05/21/2016,11 28 43 48 51 59,29,
02/10/2016,11 14 21 28 40 49,51,
06/27/2015,11 17 26 29 36 45,7,
04/11/2015,11 15 28 31 40 44,22,
03/07/2015,11 20 23 29 53 58,51,
02/04/2015,11 17 20 27 45 54,7,
01/10/2015,11 19 35 37 51 52,56,
10/18/2014,11 20 21 31 37 41,30,
04/16/2014,11 12 19 49 55 59,24,
08/21/2013,11 12 31 38 48 57,44,
07/03/2013,11 13 15 26 40 58,42,
03/30/2013,11 19 31 37 54 59,51,
03/20/2013,11 20 21 26 43 58,9,
09/12/2012,11 20 30 36 53 54,8,
08/04/2012,11 13 21 35 48 55,17,
07/14/2012,11 18 20 31 44 46,59,
04/18/2012,11 27 30 36 46 49,57,
12/31/2011,11 13 21 35 44 54,47,
07/13/2011,11 22 36 39 45 50,42,
06/08/2011,11 14 26 29 33 44,6,
04/09/2011,11 19 20 23 26 38,42,
01/08/2011,11 38 44 48 53 54,20,
10/13/2010,11 16 23 43 47 51,50,
06/26/2010,11 25 26 35 42 45,31,
06/23/2010,11 19 33 40 43 55,23,
06/05/2010,11 22 36 40 51 52,6,
03/31/2010,11 16 20 23 25 36,18,28
03/13/2010,11 19 25 29 30 55,27,59
12/16/2009,11 28 30 45 49 58,16,44
12/05/2009,11 21 26 39 43 54,48,52
06/10/2009,11 26 36 42 46 56,20,27
05/16/2009,11 19 30 45 55 56,31,7
03/28/2009,11 47 52 56 57 59,3,41
12/27/2008,11 26 31 36 53 58,37,42
12/17/2008,11 12 19 32 34 59,25,37
08/06/2008,11 16 35 36 54 56,2,49
02/27/2008,11 12 15 27 46 50,4,14
10/31/2007,11 13 19 31 36 54,4,42
10/06/2007,11 21 26 28 43 49,34,57
08/15/2007,11 14 28 31 47 57,10,58
04/18/2007,11 12 21 36 50 59,15,38
01/24/2007,11 13 20 41 56 59,31,
10/21/2006,11 18 21 23 43 52,51,
04/15/2006,11 21 23 34 36 38,5,
11/19/2005,11 18 21 32 33 46,30,
11/09/2005,11 25 29 36 39 44,52,
07/09/2005,11 13 35 41 47 56,30,
04/23/2005,11 19 26 29 47 50,9,
02/09/2005,11 18 23 25 35 53,9,
09/08/2004,11 21 24 40 49 55,42,
06/09/2004,11 14 23 28 34 47,1,
03/27/2004,11 18 38 41 49 53,51,
12/20/2003,11 27 29 40 51 58,2,
08/30/2003,11 15 16 25 44 47,17,
06/14/2003,11 15 16 29 37 55,51,
02/26/2003,11 27 31 41 42 56,33,
10/02/2002,11 20 23 28 45 57,3,
09/14/2002,11 18 35 51 53 55,22,
01/23/2002,11 16 20 22 30 37,23,
01/19/2002,11 23 28 39 44 53,42,
01/09/2002,11 15 31 39 47 48,25,
