Draw Date,Winning Numbers,Bonus #,Extra #
01/25/2025,05 21 23 25 31 33,43,
01/01/2025,05 20 23 34 46 48,29,
11/16/2024,05 29 36 47 55 57,13,
07/31/2024,05 12 25 51 54 59,44,
06/22/2024,05 13 34 40 45 57,26,
03/27/2024,05 07 24 32 45 58,11,
01/17/2024,05 13 31 35 36 37,8,
07/05/2023,05 06 28 31 32 43,2,
06/24/2023,05 08 11 30 34 49,31,
03/25/2023,05 12 16 37 41 53,2,
03/11/2023,05 21 37 43 45 55,2,
01/28/2023,05 16 22 24 26 54,11,
01/18/2023,05 09 21 25 35 42,45,
01/14/2023,05 33 36 39 40 57,56,
12/10/2022,05 18 19 20 30 45,3,
12/07/2022,05 27 29 44 53 57,28,
11/26/2022,05 18 24 27 39 46,35,
05/21/2022,05 14 31 38 48 56,12,
04/30/2022,05 17 30 35 41 56,10,
04/27/2022,05 08 30 44 51 55,38,
04/13/2022,05 07 08 32 41 50,31,
03/19/2022,05 06 17 18 19 35,57,
11/24/2021,05 10 14 20 23 28,57,
11/17/2021,05 13 25 27 56 58,46,
09/04/2021,05 22 26 30 43 50,13,
08/07/2021,05 14 19 28 50 53,20,
07/03/2021,05 21 31 45 49 54,7,
04/24/2021,05 27 40 46 49 50,48,
04/21/2021,05 19 28 31 32 52,1,
02/13/2021,05 30 37 44 49 54,40,
12/05/2020,05 16 37 49 55 57,50,
10/31/2020,05 15 19 21 37 57,11,
07/25/2020,05 09 11 30 41 57,29,
06/24/2020,05 07 12 14 19 27,25,
03/11/2020,05 23 26 34 49 58,50,
02/12/2020,05 24 28 42 44 57,15,
01/25/2020,05 21 23 29 36 44,25,
07/27/2019,05 07 19 25 26 47,35,
06/08/2019,05 06 14 37 47 52,57,
03/06/2019,05 08 11 14 32 36,21,
01/12/2019,05 21 30 48 56 57,13,
12/12/2018,05 12 16 28 33 42,34,
12/01/2018,05 06 12 20 50 54,46,
11/14/2018,05 15 26 39 45 49,51,
10/27/2018,05 13 26 28 42 51,12,
08/01/2018,05 27 28 33 40 43,57,
04/14/2018,05 12 23 27 30 56,36,
03/31/2018,05 18 36 37 41 57,49,
01/17/2018,05 08 22 31 36 50,18,
11/29/2017,05 14 15 16 31 52,54,
10/25/2017,05 09 19 29 38 40,58,
08/12/2017,05 19 26 41 44 50,58,
08/09/2017,05 12 14 42 52 55,45,
06/07/2017,05 08 13 19 28 53,10,
05/24/2017,05 08 16 26 34 49,45,
04/26/2017,05 21 24 31 32 55,12,
03/29/2017,05 20 25 44 50 53,51,
03/01/2017,05 07 08 13 25 28,11,
01/18/2017,05 14 27 32 33 46,26,
11/05/2016,05 11 15 23 26 42,32,
09/14/2016,05 17 18 32 37 56,49,
05/25/2016,05 12 13 22 25 35,51,
05/07/2016,05 12 18 33 56 57,51,
02/13/2016,05 11 15 33 39 40,58,
01/02/2016,05 11 28 32 34 35,6,
12/05/2015,05 07 13 17 38 42,18,
