Draw Date,Winning Numbers,Bonus #,Extra #
10/23/2024,08 12 32 35 42 45,3,
09/18/2024,08 36 39 52 54 55,35,
08/21/2024,08 15 17 20 22 48,6,
07/24/2024,08 21 25 32 33 49,57,
06/15/2024,08 12 39 51 52 56,40,
04/17/2024,08 25 27 31 34 45,21,
03/30/2024,08 27 28 32 45 51,13,
11/22/2023,08 15 20 28 38 59,19,
10/18/2023,08 24 27 28 50 59,55,
09/06/2023,08 10 19 23 26 43,45,
08/09/2023,08 11 42 51 54 59,14,
09/21/2022,08 33 38 40 42 53,24,
09/14/2022,08 16 18 36 54 59,22,
07/02/2022,08 15 20 27 38 53,48,
05/25/2022,08 12 27 41 45 47,32,
02/26/2022,08 32 43 46 52 58,14,
02/19/2022,08 16 21 31 43 51,3,
01/12/2022,08 18 27 29 37 43,59,
01/05/2022,08 15 17 32 36 47,23,
05/22/2021,08 10 17 20 31 52,33,
04/14/2021,08 26 34 41 44 48,17,
03/03/2021,08 19 32 38 43 47,5,
02/10/2021,08 23 30 47 48 57,7,
10/17/2020,08 10 17 19 34 47,30,
10/10/2020,08 11 15 32 47 58,6,
09/30/2020,08 13 25 38 41 48,42,
08/29/2020,08 22 23 26 39 58,34,
07/04/2020,08 26 28 48 50 57,46,
03/14/2020,08 09 16 46 53 54,15,
01/11/2020,08 10 17 18 30 46,45,
10/09/2019,08 14 18 26 33 38,7,
09/18/2019,08 18 21 23 29 56,10,
09/04/2019,08 20 37 51 53 59,10,
08/21/2019,08 11 34 41 50 54,42,
06/05/2019,08 18 28 31 36 54,45,
05/04/2019,08 19 50 51 52 55,13,
05/01/2019,08 09 24 27 36 37,11,
12/15/2018,08 12 33 34 38 42,16,
09/19/2018,08 15 19 49 52 57,26,
07/11/2018,08 30 32 35 45 56,4,
04/28/2018,08 27 38 39 42 48,40,
12/30/2017,08 20 29 30 31 47,32,
12/16/2017,08 21 44 49 53 59,40,
03/22/2017,08 20 27 32 36 54,46,
12/07/2016,08 09 19 34 39 43,15,
07/09/2016,08 10 46 48 50 58,43,
06/15/2016,08 24 31 39 54 59,11,
05/11/2016,08 30 31 32 36 49,23,
04/23/2016,08 16 21 23 39 43,1,
04/20/2016,08 10 22 23 32 34,37,
04/02/2016,08 10 24 28 40 52,29,
10/03/2015,08 39 41 54 57 59,18,
09/05/2015,08 12 13 29 43 56,53,
09/02/2015,08 19 22 31 41 58,2,
07/22/2015,08 13 20 44 50 55,26,
04/01/2015,08 13 26 27 32 35,46,
02/21/2015,08 21 23 50 52 53,57,
12/24/2014,08 15 23 50 52 58,28,
11/26/2014,08 22 38 48 50 52,21,
10/08/2014,08 14 26 27 44 53,7,
09/17/2014,08 17 27 30 34 53,52,
05/10/2014,08 22 24 44 50 57,53,
04/02/2014,08 12 33 40 43 48,47,
02/26/2014,08 12 33 36 47 55,43,
10/12/2013,08 13 22 26 44 58,4,
09/21/2013,08 11 22 39 46 55,48,
07/20/2013,08 24 43 45 54 56,36,
06/05/2013,08 21 24 43 48 53,29,
05/29/2013,08 23 25 26 45 51,50,
11/17/2012,08 21 27 28 50 53,2,
06/30/2012,08 09 21 26 35 38,57,
05/26/2012,08 12 19 24 32 53,15,
05/16/2012,08 12 16 27 42 52,9,
01/21/2012,08 21 36 39 58 59,12,
12/10/2011,08 27 32 44 54 55,59,
11/19/2011,08 16 27 30 37 57,9,
11/12/2011,08 24 32 36 40 42,56,
04/23/2011,08 15 19 37 48 59,28,
04/20/2011,08 16 17 29 39 56,50,
02/23/2011,08 15 20 41 43 48,26,
02/19/2011,08 23 33 34 52 58,15,
