Bonus #,Winning Numbers,Draw Date,Extra #
41,01 22 36 44 49 59,01/30/2019,
56,20 24 27 34 35 59,01/26/2019,
34,06 18 19 21 23 51,01/23/2019,
7,38 40 43 48 58 59,01/19/2019,
37,02 10 40 43 48 52,01/16/2019,
13,05 21 30 48 56 57,01/12/2019,
13,17 21 31 33 46 53,01/09/2019,
59,28 33 38 45 54 57,01/05/2019,
4,22 23 34 36 49 55,01/02/2019,
19,02 16 18 27 29 35,12/29/2018,
27,02 08 16 22 45 46,12/26/2018,
44,28 37 40 41 48 59,12/22/2018,
10,01 20 22 24 34 39,12/19/2018,
16,08 12 33 34 38 42,12/15/2018,
34,05 12 16 28 33 42,12/12/2018,
20,02 26 30 31 38 59,12/08/2018,
13,01 11 24 37 44 50,12/05/2018,
46,05 06 12 20 50 54,12/01/2018,
17,02 03 21 23 35 57,11/28/2018,
3,01 10 14 17 46 56,11/24/2018,
33,09 24 34 35 57 58,11/21/2018,
28,17 26 30 37 47 50,11/17/2018,
51,05 15 26 39 45 49,11/14/2018,
10,03 16 19 25 28 43,11/10/2018,
6,18 24 37 50 58 59,11/07/2018,
14,15 30 40 42 56 59,11/03/2018,
9,11 27 41 51 52 53,10/31/2018,
12,05 13 26 28 42 51,10/27/2018,
25,07 18 39 42 44 58,10/24/2018,
33,04 07 08 09 41 58,10/20/2018,
14,01 05 08 43 50 51,10/17/2018,
28,12 15 20 26 39 58,10/13/2018,
8,15 24 30 37 44 59,10/10/2018,
56,10 12 29 41 48 57,10/06/2018,
23,04 18 19 24 31 42,10/03/2018,
52,09 13 35 41 42 51,09/29/2018,
31,11 27 29 35 45 59,09/26/2018,
58,01 02 15 17 27 56,09/22/2018,
26,08 15 19 49 52 57,09/19/2018,
32,25 28 33 36 37 59,09/15/2018,
24,11 20 28 43 57 59,09/12/2018,
48,13 18 19 27 47 59,09/08/2018,
16,15 29 37 38 40 53,09/05/2018,
52,03 14 15 25 34 35,09/01/2018,
14,01 15 19 50 52 53,08/29/2018,
40,12 31 38 48 49 54,08/25/2018,
22,11 14 46 48 57 59,08/22/2018,
29,12 24 27 30 40 53,08/18/2018,
33,02 36 42 53 54 55,08/15/2018,
59,25 28 29 47 51 58,08/11/2018,
37,11 16 29 43 55 57,08/08/2018,
22,09 20 24 31 32 53,08/04/2018,
57,05 27 28 33 40 43,08/01/2018,
22,17 28 34 38 41 52,07/28/2018,
42,04 10 18 35 41 49,07/25/2018,
49,14 16 26 47 52 55,07/21/2018,
16,04 07 19 24 30 45,07/18/2018,
17,18 27 31 35 36 45,07/14/2018,
4,08 30 32 35 45 56,07/11/2018,
42,02 15 20 53 54 58,07/07/2018,
6,16 19 34 42 44 57,07/04/2018,
42,09 15 21 35 49 56,06/30/2018,
16,14 17 22 49 57 59,06/27/2018,
36,03 04 16 20 25 49,06/23/2018,
29,02 03 16 27 32 34,06/20/2018,
15,11 20 21 30 44 55,06/16/2018,
46,10 31 41 44 51 58,06/13/2018,
11,09 10 20 28 32 37,06/09/2018,
10,17 28 31 33 42 55,06/06/2018,
31,02 18 27 29 37 59,06/02/2018,
58,01 25 36 40 56 57,05/30/2018,
45,03 17 27 28 41 44,05/26/2018,
11,12 18 19 41 54 56,05/23/2018,
35,03 38 41 56 57 59,05/19/2018,
2,03 16 27 36 48 57,05/16/2018,
20,01 26 40 42 47 55,05/12/2018,
38,19 36 48 51 52 54,05/09/2018,
51,02 16 17 38 41 42,05/05/2018,
16,04 09 21 25 37 39,05/02/2018,
40,08 27 38 39 42 48,04/28/2018,
42,07 08 13 16 37 41,04/25/2018,
37,09 19 20 21 45 47,04/21/2018,
7,10 27 28 29 51 56,04/18/2018,
36,05 12 23 27 30 56,04/14/2018,
8,18 19 31 33 40 46,04/11/2018,
4,02 05 10 23 31 53,04/07/2018,
47,19 23 32 35 38 56,04/04/2018,
49,05 18 36 37 41 57,03/31/2018,
46,04 19 25 39 54 55,03/28/2018,
14,15 22 23 50 51 57,03/24/2018,
24,17 26 27 36 40 50,03/21/2018,
21,02 10 13 23 31 46,03/17/2018,
46,15 40 49 53 56 57,03/14/2018,
57,11 14 22 40 43 46,03/10/2018,
34,03 08 09 16 21 53,03/07/2018,
29,02 04 21 34 37 48,03/03/2018,
35,04 06 10 28 30 53,02/28/2018,
17,07 25 26 29 37 43,02/24/2018,
42,17 25 32 33 38 44,02/21/2018,
14,03 26 32 42 43 49,02/17/2018,
34,02 07 18 23 37 48,02/14/2018,
53,02 06 11 19 35 42,02/10/2018,
52,13 25 40 41 42 44,02/07/2018,
36,02 29 51 54 55 57,02/03/2018,
58,07 20 22 24 46 54,01/31/2018,
17,02 06 16 37 53 54,01/27/2018,
21,04 24 41 42 49 51,01/24/2018,
22,10 15 24 44 45 55,01/20/2018,
18,05 08 22 31 36 50,01/17/2018,
1,30 46 47 48 56 59,01/13/2018,
13,07 11 29 43 56 59,01/10/2018,
27,01 02 04 40 55 59,01/06/2018,
6,07 11 22 28 41 55,01/03/2018,
32,08 20 29 30 31 47,12/30/2017,
1,02 12 35 39 43 49,12/27/2017,
34,07 09 19 37 48 50,12/23/2017,
41,01 09 18 33 45 57,12/20/2017,
40,08 21 44 49 53 59,12/16/2017,
38,01 02 36 49 57 59,12/13/2017,
3,06 11 17 25 28 54,12/09/2017,
6,04 21 29 30 31 32,12/06/2017,
58,02 03 26 40 41 55,12/02/2017,
54,05 14 15 16 31 52,11/29/2017,
10,02 14 21 23 38 44,11/25/2017,
57,04 09 28 37 43 48,11/22/2017,
46,07 14 31 48 54 57,11/18/2017,
57,28 35 37 39 53 54,11/15/2017,
51,06 22 30 35 55 59,11/11/2017,
49,02 15 20 26 43 44,11/08/2017,
7,04 06 31 45 51 59,11/04/2017,
27,17 22 34 43 44 58,11/01/2017,
1,12 19 33 35 46 47,10/28/2017,
58,05 09 19 29 38 40,10/25/2017,
40,15 41 50 53 55 58,10/21/2017,
38,06 12 30 48 54 55,10/18/2017,
46,02 04 14 17 25 49,10/14/2017,
34,06 16 24 25 37 38,10/11/2017,
59,03 06 29 37 53 56,10/07/2017,
34,23 43 52 54 57 58,10/04/2017,
55,03 16 43 49 50 54,09/30/2017,
34,27 32 40 49 50 54,09/27/2017,
14,07 24 37 40 50 56,09/23/2017,
51,17 23 52 53 55 58,09/20/2017,
5,06 11 15 20 25 27,09/16/2017,
42,02 28 35 45 49 54,09/13/2017,
37,02 14 19 54 56 58,09/09/2017,
19,23 33 39 49 53 57,09/06/2017,
56,17 39 44 48 55 59,09/02/2017,
56,03 08 14 17 37 53,08/30/2017,
48,12 25 32 33 47 55,08/26/2017,
8,09 23 34 37 52 56,08/23/2017,
51,10 25 30 31 36 58,08/19/2017,
3,12 13 27 54 55 56,08/16/2017,
58,05 19 26 41 44 50,08/12/2017,
45,05 12 14 42 52 55,08/09/2017,
20,19 32 33 34 44 54,08/05/2017,
17,03 23 29 31 42 53,08/02/2017,
38,19 21 22 28 41 42,07/29/2017,
18,07 15 20 25 34 59,07/26/2017,
54,11 23 28 37 40 41,07/22/2017,
16,15 22 27 34 49 57,07/19/2017,
25,04 06 17 20 34 43,07/15/2017,
35,17 24 27 29 31 49,07/12/2017,
3,07 21 24 33 41 45,07/08/2017,
50,18 19 21 30 54 56,07/05/2017,
16,20 32 40 46 52 54,07/01/2017,
36,30 32 35 40 50 58,06/28/2017,
55,06 14 18 23 31 37,06/24/2017,
4,10 14 29 30 33 37,06/21/2017,
38,09 16 18 34 45 51,06/17/2017,
22,04 19 27 36 46 50,06/14/2017,
10,05 08 13 19 28 53,06/07/2017,
17,22 23 31 33 46 52,06/03/2017,
3,09 12 29 30 43 59,05/31/2017,
25,07 17 30 34 47 58,05/27/2017,
45,05 08 16 26 34 49,05/24/2017,
38,13 14 24 35 36 50,05/20/2017,
53,12 20 22 26 37 59,05/17/2017,
29,04 26 33 35 54 55,05/13/2017,
36,01 04 07 23 43 54,05/10/2017,
11,03 23 31 46 53 55,05/06/2017,
3,40 41 51 52 53 56,05/03/2017,
20,09 24 34 40 47 59,04/29/2017,
12,05 21 24 31 32 55,04/26/2017,
57,09 28 31 45 49 50,04/22/2017,
31,04 29 30 34 46 54,04/19/2017,
42,04 07 12 17 26 55,04/15/2017,
30,02 10 38 50 53 57,04/12/2017,
56,04 15 24 33 37 58,04/08/2017,
55,14 15 21 23 41 50,04/05/2017,
15,01 04 16 25 29 56,04/01/2017,
51,05 20 25 44 50 53,03/29/2017,
19,07 18 39 43 45 46,03/25/2017,
46,08 20 27 32 36 54,03/22/2017,
32,01 03 20 27 30 49,03/18/2017,
59,13 22 27 29 30 40,03/15/2017,
54,01 17 21 33 44 45,03/11/2017,
15,03 13 20 25 31 39,03/08/2017,
59,03 09 18 46 47 55,03/04/2017,
11,05 07 08 13 25 28,03/01/2017,
5,04 25 26 34 40 46,02/25/2017,
46,15 17 21 38 40 42,02/22/2017,
47,09 26 28 34 36 57,02/18/2017,
47,01 03 10 24 35 56,02/15/2017,
11,15 23 28 34 45 53,02/11/2017,
57,06 23 27 45 47 49,02/08/2017,
17,01 08 14 33 48 59,02/04/2017,
28,01 13 14 20 41 45,02/01/2017,
28,02 03 18 35 56 58,01/28/2017,
19,03 09 29 49 51 54,01/25/2017,
50,11 31 44 45 48 53,01/21/2017,
26,05 14 27 32 33 46,01/18/2017,
46,09 13 16 23 35 58,01/14/2017,
31,12 13 16 49 50 59,01/11/2017,
19,18 22 29 37 43 52,01/07/2017,
5,10 19 29 30 33 56,01/04/2017,
52,03 16 25 40 44 50,12/31/2016,
29,16 21 40 41 44 49,12/28/2016,
18,04 48 51 52 54 57,12/24/2016,
49,06 23 25 39 42 53,12/21/2016,
39,16 24 25 28 51 52,12/17/2016,
9,18 19 32 38 49 54,12/14/2016,
37,10 18 30 44 50 56,12/10/2016,
15,08 09 19 34 39 43,12/07/2016,
20,12 42 49 53 54 59,12/03/2016,
41,07 13 18 19 38 51,11/30/2016,
50,06 16 22 25 31 56,11/26/2016,
26,06 09 10 18 25 42,11/23/2016,
50,13 25 32 47 52 57,11/19/2016,
10,02 21 25 26 40 57,11/16/2016,
4,12 22 28 30 48 59,11/12/2016,
44,21 23 25 28 46 59,11/09/2016,
32,05 11 15 23 26 42,11/05/2016,
40,09 21 24 26 50 54,11/02/2016,
46,10 13 40 44 51 55,10/29/2016,
16,18 22 41 45 49 56,10/26/2016,
48,14 26 30 35 50 56,10/22/2016,
9,02 17 25 36 40 46,10/19/2016,
46,01 08 17 18 24 42,10/15/2016,
33,01 12 17 28 46 47,10/12/2016,
8,02 09 29 40 55 57,10/08/2016,
43,01 28 29 31 55 58,10/05/2016,
44,01 04 13 15 30 33,10/01/2016,
52,07 43 48 54 58 59,09/28/2016,
22,16 21 32 33 35 57,09/24/2016,
1,04 08 13 30 36 58,09/21/2016,
41,12 13 21 50 56 58,09/17/2016,
49,05 17 18 32 37 56,09/14/2016,
43,04 05 13 21 53 57,09/10/2016,
29,16 22 31 37 48 52,09/07/2016,
32,03 09 26 34 48 59,09/03/2016,
38,17 23 24 28 32 57,08/31/2016,
44,17 22 35 40 43 50,08/27/2016,
18,41 43 49 57 58 59,08/24/2016,
2,04 08 27 31 33 54,08/20/2016,
57,15 21 26 39 46 53,08/17/2016,
24,01 05 13 26 35 53,08/13/2016,
43,09 12 14 17 26 28,08/10/2016,
33,13 18 21 27 58 59,08/06/2016,
57,09 16 22 27 46 51,08/03/2016,
39,01 06 08 09 18 38,07/30/2016,
22,04 14 30 33 49 54,07/27/2016,
31,03 26 27 53 55 58,07/23/2016,
53,02 26 32 40 43 59,07/20/2016,
3,14 21 27 36 53 56,07/16/2016,
43,04 05 10 32 34 44,07/13/2016,
43,08 10 46 48 50 58,07/09/2016,
2,23 25 36 43 46 48,07/06/2016,
37,16 27 33 36 43 58,07/02/2016,
36,04 11 18 37 50 53,06/29/2016,
15,14 27 30 31 50 52,06/25/2016,
20,31 40 42 48 49 57,06/22/2016,
49,10 21 30 38 45 59,06/18/2016,
11,08 24 31 39 54 59,06/15/2016,
51,03 19 21 44 49 57,06/11/2016,
18,02 16 22 44 56 59,06/08/2016,
56,11 17 25 27 47 48,06/04/2016,
35,09 13 15 25 38 56,06/01/2016,
25,03 08 09 26 39 42,05/28/2016,
51,05 12 13 22 25 35,05/25/2016,
29,11 28 43 48 51 59,05/21/2016,
17,19 26 42 47 49 59,05/18/2016,
12,03 08 25 43 47 58,05/14/2016,
23,08 30 31 32 36 49,05/11/2016,
51,05 12 18 33 56 57,05/07/2016,
8,16 18 26 44 49 51,05/04/2016,
46,01 20 25 30 31 57,04/30/2016,
46,20 31 41 43 48 59,04/27/2016,
1,08 16 21 23 39 43,04/23/2016,
37,08 10 22 23 32 34,04/20/2016,
47,07 14 15 30 41 50,04/16/2016,
9,12 23 25 29 42 46,04/13/2016,
1,03 19 23 42 45 56,04/09/2016,
13,03 05 10 50 54 57,04/06/2016,
29,08 10 24 28 40 52,04/02/2016,
36,06 09 34 44 54 59,03/30/2016,
38,13 24 44 48 56 59,03/26/2016,
2,04 08 15 29 40 56,03/23/2016,
50,07 17 30 46 53 55,03/19/2016,
2,04 07 09 20 52 57,03/16/2016,
32,06 09 12 15 22 37,03/12/2016,
19,15 22 23 30 36 38,03/09/2016,
15,09 37 38 41 46 58,03/05/2016,
21,27 35 36 43 52 54,03/02/2016,
37,01 02 08 17 25 43,02/27/2016,
42,01 12 15 24 35 41,02/24/2016,
5,02 24 26 36 43 55,02/20/2016,
40,04 19 25 46 52 55,02/17/2016,
58,05 11 15 33 39 40,02/13/2016,
51,11 14 21 28 40 49,02/10/2016,
44,01 14 25 37 41 53,02/06/2016,
3,13 14 20 34 41 49,02/03/2016,
7,01 24 27 43 48 50,01/30/2016,
30,10 36 46 48 54 56,01/27/2016,
53,01 17 21 35 51 52,01/23/2016,
18,10 16 17 21 33 58,01/20/2016,
56,09 23 39 41 48 52,01/16/2016,
11,20 31 34 40 42 54,01/13/2016,
48,01 10 13 26 33 53,01/09/2016,
15,21 22 29 32 39 47,01/06/2016,
6,05 11 28 32 34 35,01/02/2016,
45,04 11 18 37 51 59,12/30/2015,
55,16 18 22 28 35 46,12/26/2015,
53,03 05 08 13 47 55,12/23/2015,
5,04 17 18 31 34 58,12/19/2015,
59,15 16 23 30 43 54,12/16/2015,
6,09 10 11 19 41 58,12/12/2015,
18,04 05 12 21 32 41,12/09/2015,
18,05 07 13 17 38 42,12/05/2015,
32,03 18 26 28 41 53,12/02/2015,
33,06 14 25 39 44 48,11/28/2015,
9,13 32 35 42 52 54,11/25/2015,
56,22 25 34 40 45 46,11/21/2015,
22,03 30 31 35 37 52,11/18/2015,
17,03 09 11 16 20 38,11/14/2015,
19,05 08 09 17 28 48,11/11/2015,
25,07 12 14 23 37 53,11/07/2015,
53,12 14 21 45 50 55,11/04/2015,
51,01 03 12 13 26 49,10/31/2015,
31,01 16 18 25 28 55,10/28/2015,
31,01 09 45 51 55 57,10/24/2015,
46,01 07 10 12 43 48,10/21/2015,
37,01 09 11 16 19 22,10/17/2015,
52,13 35 42 47 48 58,10/14/2015,
21,02 17 26 39 40 41,10/10/2015,
26,01 09 13 35 49 59,10/07/2015,
18,08 39 41 54 57 59,10/03/2015,
26,02 03 23 31 37 55,09/30/2015,
13,12 14 23 42 55 58,09/26/2015,
27,01 07 30 31 42 44,09/23/2015,
25,01 04 20 32 41 58,09/19/2015,
7,02 31 36 40 46 51,09/16/2015,
31,13 36 39 40 41 46,09/12/2015,
7,02 05 08 24 28 41,09/09/2015,
53,08 12 13 29 43 56,09/05/2015,
2,08 19 22 31 41 58,09/02/2015,
36,15 17 25 33 34 37,08/29/2015,
30,03 24 31 33 41 48,08/26/2015,
37,01 12 22 31 50 58,08/22/2015,
24,05 11 23 25 48 58,08/19/2015,
20,02 21 40 42 49 53,08/15/2015,
3,06 09 16 21 36 44,08/12/2015,
42,06 21 27 41 43 56,08/08/2015,
27,16 21 24 35 43 47,08/05/2015,
8,05 09 13 31 40 54,08/01/2015,
12,02 15 18 20 47 58,07/29/2015,
27,04 08 11 18 33 54,07/25/2015,
26,08 13 20 44 50 55,07/22/2015,
13,05 10 16 17 46 48,07/18/2015,
41,06 07 08 13 33 55,07/15/2015,
3,17 18 20 26 39 41,07/11/2015,
33,07 13 19 27 31 52,07/08/2015,
2,07 18 19 29 43 51,07/04/2015,
29,10 15 27 38 39 41,07/01/2015,
7,11 17 26 29 36 45,06/27/2015,
29,07 16 32 46 54 55,06/24/2015,
49,04 21 24 34 36 54,06/20/2015,
16,02 04 18 39 55 56,06/17/2015,
49,19 32 41 44 50 59,06/13/2015,
3,05 18 21 22 28 31,06/10/2015,
25,16 22 26 35 50 54,06/06/2015,
30,22 23 28 39 51 52,06/03/2015,
24,03 06 13 27 31 58,05/30/2015,
14,02 09 21 25 45 54,05/27/2015,
18,15 16 17 26 49 55,05/23/2015,
38,05 08 18 36 48 53,05/20/2015,
7,01 20 28 30 34 49,05/16/2015,
48,03 28 37 38 44 59,05/13/2015,
22,02 20 35 37 41 52,05/09/2015,
25,05 11 28 31 34 54,05/06/2015,
20,05 15 24 31 52 59,05/02/2015,
39,13 20 33 52 54 56,04/29/2015,
44,09 18 24 34 49 58,04/25/2015,
56,02 04 14 20 33 49,04/22/2015,
3,05 24 29 33 48 53,04/18/2015,
26,23 35 37 52 55 58,04/15/2015,
22,11 15 28 31 40 44,04/11/2015,
40,14 39 41 48 55 56,04/08/2015,
1,13 25 27 50 51 58,04/04/2015,
46,08 13 26 27 32 35,04/01/2015,
2,01 03 24 43 48 52,03/28/2015,
48,10 11 23 45 51 52,03/25/2015,
27,02 12 16 22 28 31,03/21/2015,
31,04 11 24 33 45 47,03/18/2015,
4,17 29 35 37 44 47,03/14/2015,
1,03 05 28 34 37 53,03/11/2015,
51,11 20 23 29 53 58,03/07/2015,
55,05 26 34 36 44 57,03/04/2015,
16,04 21 26 27 53 57,02/28/2015,
26,15 27 46 52 53 59,02/25/2015,
57,08 21 23 50 52 53,02/21/2015,
18,14 15 29 53 55 59,02/18/2015,
48,13 16 20 22 47 57,02/14/2015,
34,22 24 37 39 44 48,02/11/2015,
43,04 09 17 18 21 52,02/07/2015,
7,11 17 20 27 45 54,02/04/2015,
58,03 05 09 21 23 24,01/31/2015,
1,19 24 36 37 47 53,01/28/2015,
54,03 06 30 41 45 56,01/24/2015,
29,12 19 35 41 56 58,01/21/2015,
53,02 31 47 48 50 52,01/17/2015,
40,02 15 16 29 37 53,01/14/2015,
56,11 19 35 37 51 52,01/10/2015,
32,05 11 21 24 34 55,01/07/2015,
43,22 23 28 30 41 45,01/03/2015,
28,04 06 34 38 52 59,12/31/2014,
33,24 28 39 45 46 47,12/27/2014,
28,08 15 23 50 52 58,12/24/2014,
19,09 17 20 27 32 42,12/20/2014,
54,03 14 36 42 45 48,12/17/2014,
39,25 32 45 51 54 55,12/13/2014,
1,15 31 32 46 48 53,12/10/2014,
8,21 30 33 41 50 58,12/06/2014,
17,01 27 42 54 56 58,12/03/2014,
32,05 16 17 25 27 31,11/29/2014,
21,08 22 38 48 50 52,11/26/2014,
1,07 08 19 31 39 52,11/22/2014,
42,12 27 30 32 43 50,11/19/2014,
14,01 12 30 38 39 51,11/15/2014,
14,07 20 26 27 40 52,11/12/2014,
10,02 17 23 26 50 58,11/08/2014,
20,01 11 22 34 35 50,11/05/2014,
25,27 29 30 42 48 59,11/01/2014,
22,14 27 43 45 46 50,10/29/2014,
38,02 15 23 29 30 49,10/25/2014,
51,10 13 21 35 43 56,10/22/2014,
30,11 20 21 31 37 41,10/18/2014,
37,02 06 25 35 56 59,10/15/2014,
12,04 28 30 32 42 46,10/11/2014,
7,08 14 26 27 44 53,10/08/2014,
22,13 21 38 39 41 57,10/04/2014,
23,03 06 11 30 43 59,10/01/2014,
14,23 31 34 41 47 53,09/27/2014,
37,09 10 25 26 35 44,09/24/2014,
57,07 22 23 27 50 58,09/20/2014,
52,08 17 27 30 34 53,09/17/2014,
40,04 05 10 11 44 47,09/13/2014,
23,02 09 10 22 35 42,09/10/2014,
35,05 07 45 48 54 59,09/06/2014,
32,02 21 34 41 52 59,09/03/2014,
25,19 22 29 33 37 54,08/30/2014,
23,03 06 14 17 45 48,08/27/2014,
49,06 15 22 37 41 45,08/23/2014,
19,03 10 11 15 16 54,08/20/2014,
15,03 06 31 48 50 53,08/16/2014,
5,04 11 16 17 31 59,08/13/2014,
59,04 17 18 34 39 56,08/09/2014,
50,05 17 31 37 44 55,08/06/2014,
48,03 10 42 46 52 53,08/02/2014,
58,09 10 21 43 44 50,07/30/2014,
22,05 11 19 24 52 54,07/26/2014,
38,15 23 29 39 40 51,07/23/2014,
50,28 32 36 37 39 47,07/19/2014,
39,19 20 25 29 30 55,07/16/2014,
51,09 12 17 38 45 46,07/12/2014,
14,07 09 24 26 48 49,07/09/2014,
33,05 09 23 34 44 59,07/05/2014,
13,02 18 25 28 30 35,07/02/2014,
54,15 28 49 50 53 56,06/28/2014,
26,03 12 18 25 39 43,06/25/2014,
58,09 19 31 54 57 59,06/21/2014,
37,06 09 22 39 41 44,06/18/2014,
29,15 25 33 42 53 57,06/14/2014,
3,01 22 32 37 57 59,06/11/2014,
15,03 09 21 29 52 58,06/07/2014,
54,01 28 38 57 58 59,06/04/2014,
54,02 12 19 29 46 50,05/31/2014,
12,04 05 28 33 41 46,05/28/2014,
51,15 17 26 37 43 57,05/24/2014,
14,07 27 30 45 50 53,05/21/2014,
59,04 05 19 21 23 29,05/17/2014,
9,02 03 12 14 16 38,05/14/2014,
53,08 22 24 44 50 57,05/10/2014,
41,20 21 29 32 45 48,05/07/2014,
38,06 19 21 26 41 57,05/03/2014,
14,09 10 12 23 52 58,04/30/2014,
20,02 11 12 47 49 57,04/26/2014,
8,23 37 41 43 45 47,04/23/2014,
31,07 10 34 38 57 59,04/19/2014,
24,11 12 19 49 55 59,04/16/2014,
25,07 10 14 41 43 59,04/12/2014,
22,02 10 19 27 30 35,04/09/2014,
21,03 06 09 19 31 41,04/05/2014,
47,08 12 33 40 43 48,04/02/2014,
26,07 29 30 37 42 53,03/29/2014,
27,04 10 11 18 25 28,03/26/2014,
56,02 07 24 36 53 57,03/22/2014,
15,04 12 30 55 56 59,03/19/2014,
4,06 29 30 34 44 49,03/15/2014,
55,09 11 14 16 49 57,03/12/2014,
14,02 10 15 31 34 56,03/08/2014,
51,17 18 20 21 32 42,03/05/2014,
27,03 14 37 44 50 59,03/01/2014,
43,08 12 33 36 47 55,02/26/2014,
17,09 10 29 38 40 46,02/22/2014,
30,02 09 10 31 40 52,02/19/2014,
33,02 10 17 31 35 41,02/15/2014,
51,04 10 19 31 40 58,02/12/2014,
50,01 05 20 35 36 40,02/08/2014,
35,02 13 17 19 30 43,02/05/2014,
44,14 18 25 35 38 53,02/01/2014,
56,17 24 27 28 31 34,01/29/2014,
46,13 16 17 22 27 55,01/25/2014,
20,05 08 16 36 51 52,01/22/2014,
14,01 06 19 44 48 54,01/18/2014,
28,12 25 45 50 55 56,01/15/2014,
1,17 19 31 34 44 50,01/11/2014,
4,01 03 09 28 53 55,01/08/2014,
45,17 25 30 37 39 42,01/04/2014,
46,09 14 24 26 35 55,01/01/2014,
34,20 26 36 43 45 58,12/28/2013,
6,22 27 28 38 46 55,12/25/2013,
18,03 04 16 22 58 59,12/21/2013,
50,10 14 26 33 39 48,12/18/2013,
56,04 15 19 20 21 28,12/14/2013,
19,01 08 15 17 26 56,12/11/2013,
26,05 13 31 33 38 39,12/07/2013,
45,34 42 43 44 48 55,12/04/2013,
3,13 25 33 35 36 59,11/30/2013,
17,06 22 28 42 50 55,11/27/2013,
59,03 05 09 15 27 29,11/23/2013,
43,03 04 28 31 50 58,11/20/2013,
39,27 30 32 44 58 59,11/16/2013,
48,10 18 33 40 45 46,11/13/2013,
20,05 06 24 25 28 33,11/09/2013,
12,04 11 14 20 34 44,11/06/2013,
19,05 16 17 37 51 57,11/02/2013,
6,14 16 27 29 52 58,10/30/2013,
51,06 10 16 21 29 54,10/26/2013,
14,04 05 12 21 52 58,10/23/2013,
47,02 09 20 22 55 57,10/19/2013,
36,07 15 21 33 35 46,10/16/2013,
4,08 13 22 26 44 58,10/12/2013,
26,27 35 42 45 55 59,10/09/2013,
33,04 11 43 44 52 57,10/05/2013,
10,01 05 13 35 51 52,10/02/2013,
46,01 03 13 28 36 41,09/28/2013,
51,05 11 16 27 28 59,09/25/2013,
48,08 11 22 39 46 55,09/21/2013,
21,04 11 12 20 22 49,09/18/2013,
50,04 10 27 46 52 56,09/14/2013,
48,01 12 15 18 41 51,09/11/2013,
21,02 14 18 29 36 55,09/07/2013,
12,25 26 27 32 35 50,09/04/2013,
12,05 08 18 25 34 55,08/31/2013,
35,02 12 28 43 52 57,08/28/2013,
15,16 25 40 46 55 58,08/24/2013,
44,11 12 31 38 48 57,08/21/2013,
57,10 17 18 49 58 59,08/17/2013,
47,07 11 19 38 51 54,08/14/2013,
59,12 23 30 31 46 52,08/10/2013,
56,05 06 09 13 34 50,08/07/2013,
10,09 11 17 25 42 44,08/03/2013,
28,09 19 20 42 46 55,07/31/2013,
21,12 17 20 23 40 58,07/27/2013,
5,02 15 17 39 51 52,07/24/2013,
36,08 24 43 45 54 56,07/20/2013,
59,25 29 40 41 49 56,07/17/2013,
49,02 09 14 16 23 27,07/13/2013,
49,06 12 16 38 44 52,07/10/2013,
14,01 11 22 45 57 58,07/06/2013,
42,11 13 15 26 40 58,07/03/2013,
29,03 07 12 13 18 20,06/29/2013,
58,07 19 23 44 45 56,06/26/2013,
11,19 36 37 44 54 55,06/22/2013,
5,02 11 19 20 26 52,06/19/2013,
54,02 07 10 33 39 44,06/15/2013,
36,03 12 13 17 31 34,06/12/2013,
22,09 17 35 42 53 57,06/08/2013,
29,08 21 24 43 48 53,06/05/2013,
24,04 05 19 36 43 47,06/01/2013,
50,08 23 25 26 45 51,05/29/2013,
6,16 23 25 35 39 55,05/25/2013,
40,06 07 33 37 48 53,05/22/2013,
28,02 03 07 14 15 43,05/18/2013,
21,03 16 34 36 47 50,05/15/2013,
16,14 25 42 47 51 56,05/11/2013,
11,15 25 32 33 39 48,05/08/2013,
13,10 17 24 25 52 53,05/04/2013,
53,10 17 19 42 44 49,05/01/2013,
36,29 31 38 42 52 58,04/27/2013,
36,03 08 25 35 49 50,04/24/2013,
36,12 15 27 43 49 53,04/20/2013,
8,09 19 26 33 34 51,04/17/2013,
40,01 02 05 08 45 48,04/13/2013,
24,15 18 31 44 51 53,04/10/2013,
42,13 15 36 46 47 53,04/06/2013,
14,01 18 20 33 35 46,04/03/2013,
51,11 19 31 37 54 59,03/30/2013,
26,23 34 41 48 57 59,03/27/2013,
9,05 26 27 31 38 49,03/23/2013,
9,11 20 21 26 43 58,03/20/2013,
28,19 37 39 47 51 53,03/16/2013,
33,12 17 21 30 50 59,03/13/2013,
14,05 23 26 27 30 53,03/09/2013,
31,02 13 22 30 47 56,03/06/2013,
49,03 09 10 33 48 51,03/02/2013,
4,19 31 37 40 43 54,02/27/2013,
27,01 13 16 24 32 57,02/23/2013,
3,07 15 18 24 36 41,02/20/2013,
6,04 11 18 27 31 45,02/16/2013,
5,03 23 31 32 44 50,02/13/2013,
41,09 18 20 40 46 55,02/09/2013,
49,01 16 17 22 27 36,02/06/2013,
48,09 20 35 51 55 59,02/02/2013,
59,09 22 35 47 48 57,01/30/2013,
37,05 14 22 28 30 31,01/26/2013,
26,07 08 12 29 43 51,01/23/2013,
14,04 07 11 44 54 56,01/19/2013,
3,06 15 22 30 42 56,01/16/2013,
3,05 25 36 44 47 49,01/12/2013,
8,02 21 29 35 40 43,01/09/2013,
49,03 08 26 38 51 58,01/05/2013,
32,02 03 08 12 31 55,01/02/2013,
7,10 13 22 30 40 57,12/29/2012,
