Draw Date,Winning Numbers,Bonus #,Extra #
07/20/2024,13 14 16 19 22 25,30,
01/13/2024,13 15 20 38 45 46,3,
09/02/2023,13 37 40 45 47 52,9,
01/07/2023,13 14 16 21 24 39,23,
06/15/2022,13 20 23 40 41 48,6,
02/23/2022,13 15 36 46 53 57,58,
02/09/2022,13 18 29 32 39 47,42,
12/15/2021,13 21 33 34 38 53,20,
12/08/2021,13 22 28 33 42 59,27,
11/06/2021,13 18 22 34 51 58,40,
06/12/2021,13 21 25 41 46 59,18,
03/20/2021,13 17 20 26 32 33,5,
03/17/2021,13 21 25 36 39 56,45,
08/26/2020,13 28 38 41 42 51,22,
05/20/2020,13 18 23 46 47 54,8,
01/01/2020,13 14 28 50 51 56,46,
12/28/2019,13 14 23 31 35 41,46,
10/12/2019,13 15 27 30 46 51,59,
09/08/2018,13 18 19 27 47 59,48,
02/07/2018,13 25 40 41 42 44,52,
05/20/2017,13 14 24 35 36 50,38,
03/15/2017,13 22 27 29 30 40,59,
11/19/2016,13 25 32 47 52 57,50,
08/06/2016,13 18 21 27 58 59,33,
03/26/2016,13 24 44 48 56 59,38,
02/03/2016,13 14 20 34 41 49,3,
11/25/2015,13 32 35 42 52 54,9,
10/14/2015,13 35 42 47 48 58,52,
09/12/2015,13 36 39 40 41 46,31,
04/29/2015,13 20 33 52 54 56,39,
04/04/2015,13 25 27 50 51 58,1,
02/14/2015,13 16 20 22 47 57,48,
10/04/2014,13 21 38 39 41 57,22,
01/25/2014,13 16 17 22 27 55,46,
11/30/2013,13 25 33 35 36 59,3,
04/06/2013,13 15 36 46 47 53,42,
11/23/2011,13 17 26 27 55 58,30,
08/13/2011,13 14 17 25 34 48,37,
06/29/2011,13 15 21 24 28 45,59,
06/25/2011,13 27 29 33 40 45,5,
05/07/2011,13 15 20 28 36 56,58,
05/04/2011,13 21 35 41 46 55,26,
03/12/2011,13 15 16 26 38 44,49,
02/26/2011,13 18 23 24 30 54,1,
06/19/2010,13 22 26 28 35 52,46,
02/10/2010,13 31 38 42 43 46,1,9
01/27/2010,13 31 40 52 57 58,35,30
10/25/2008,13 15 16 20 21 34,40,56
01/17/2007,13 25 28 30 46 55,11,
12/02/2006,13 23 25 30 49 59,9,
11/29/2006,13 29 31 33 54 59,53,
11/22/2006,13 32 34 36 41 50,55,
05/27/2006,13 33 35 41 47 49,22,
09/07/2005,13 14 21 43 50 51,42,
08/13/2005,13 17 27 38 52 57,18,
06/11/2005,13 23 29 30 43 47,25,
02/02/2005,13 19 24 34 40 46,9,
03/24/2004,13 26 37 41 42 46,52,
03/17/2004,13 17 20 31 36 43,42,
01/07/2004,13 22 24 26 27 50,21,
08/16/2003,13 24 35 50 57 58,5,
06/04/2003,13 29 37 43 51 58,12,
05/28/2003,13 14 15 37 52 54,42,
10/26/2002,13 22 27 46 49 53,16,
08/24/2002,13 15 19 32 34 48,2,
