Draw Date,Winning Numbers,Bonus #,Extra #
05/29/2024,16 19 24 27 30 57,32,
12/06/2023,16 19 35 37 39 54,2,
09/16/2023,16 20 37 40 48 49,1,
09/17/2022,16 27 36 40 41 55,19,
04/20/2022,16 25 26 39 43 48,22,
12/11/2021,16 27 28 36 45 56,59,
12/01/2021,16 24 44 53 55 59,56,
11/27/2021,16 20 27 44 49 55,38,
07/21/2021,16 27 44 52 54 57,15,
06/02/2021,16 29 30 35 37 47,41,
01/09/2021,16 30 34 43 46 50,29,
02/20/2019,16 25 29 32 50 59,20,
07/04/2018,16 19 34 42 44 57,6,
12/28/2016,16 21 40 41 44 49,29,
12/17/2016,16 24 25 28 51 52,39,
09/24/2016,16 21 32 33 35 57,22,
09/07/2016,16 22 31 37 48 52,29,
07/02/2016,16 27 33 36 43 58,37,
05/04/2016,16 18 26 44 49 51,8,
12/26/2015,16 18 22 28 35 46,55,
08/05/2015,16 21 24 35 43 47,27,
06/06/2015,16 22 26 35 50 54,25,
08/24/2013,16 25 40 46 55 58,15,
05/25/2013,16 23 25 35 39 55,6,
12/22/2012,16 19 20 22 25 55,51,
04/27/2011,16 22 24 33 37 42,29,
01/19/2011,16 23 29 36 38 57,41,
12/11/2010,16 18 21 24 34 41,39,
11/21/2009,16 23 26 30 32 53,37,52
11/11/2009,16 17 28 31 45 53,38,51
11/07/2009,16 20 47 53 54 55,45,27
05/27/2009,16 29 30 43 44 50,45,8
01/10/2009,16 17 43 47 48 51,20,32
12/10/2008,16 20 25 36 46 54,5,33
11/29/2008,16 19 22 47 48 56,58,8
07/12/2008,16 17 21 30 43 44,39,28
05/07/2008,16 25 32 45 46 58,7,14
08/01/2007,16 27 32 34 36 57,52,9
04/25/2007,16 24 41 47 53 57,4,55
11/15/2006,16 26 31 32 54 58,39,
06/24/2006,16 20 30 31 35 45,26,
03/25/2006,16 21 22 43 53 59,52,
03/13/2004,16 21 25 36 49 59,1,
10/25/2003,16 19 20 40 51 55,36,
07/19/2003,16 31 32 37 40 45,46,
11/13/2002,16 19 28 32 53 54,14,
05/18/2002,16 24 32 34 39 54,50,
02/09/2002,16 25 28 29 46 48,12,
