Draw Date,Winning Numbers,Bonus #,Extra #
10/16/2024,23 39 41 51 54 56,33,
09/30/2023,23 31 37 49 51 57,4,
08/12/2023,23 32 35 36 39 44,34,
04/12/2023,23 24 25 34 36 37,16,
10/29/2022,23 25 39 47 51 52,30,
05/18/2022,23 25 31 50 51 54,47,
10/30/2021,23 27 30 36 50 57,22,
08/18/2021,23 30 34 35 47 57,10,
01/20/2021,23 26 42 52 54 55,47,
06/10/2020,23 46 50 52 56 59,37,
11/02/2019,23 31 38 46 48 49,52,
10/04/2017,23 43 52 54 57 58,34,
09/06/2017,23 33 39 49 53 57,19,
07/06/2016,23 25 36 43 46 48,2,
04/15/2015,23 35 37 52 55 58,26,
09/27/2014,23 31 34 41 47 53,14,
04/23/2014,23 37 41 43 45 47,8,
03/27/2013,23 34 41 48 57 59,26,
07/11/2012,23 25 31 36 42 59,22,
06/13/2012,23 36 38 39 42 44,56,
03/28/2012,23 31 37 45 46 51,8,
12/18/2010,23 34 36 40 52 53,25,
02/03/2010,23 24 43 44 55 57,51,8
09/02/2009,23 24 30 35 45 54,14,43
01/31/2009,23 26 29 31 40 58,44,51
08/04/2007,23 27 35 36 38 45,30,31
06/13/2007,23 24 29 35 37 46,32,38
06/04/2005,23 29 46 48 52 57,15,
08/25/2004,23 31 34 35 43 46,30,
02/04/2004,23 30 46 49 53 58,25,
10/01/2003,23 25 31 38 43 44,52,
