Draw Date,Winning Numbers,Bonus #,Extra #
06/05/2024,17 20 30 50 51 57,31,
07/15/2023,17 18 31 43 48 50,40,
07/08/2023,17 30 35 41 45 54,19,
03/09/2022,17 28 29 32 37 40,56,
09/11/2021,17 19 21 24 36 47,1,
06/12/2019,17 21 22 32 37 41,58,
03/09/2019,17 20 21 43 46 52,24,
01/09/2019,17 21 31 33 46 53,13,
11/17/2018,17 26 30 37 47 50,28,
07/28/2018,17 28 34 38 41 52,22,
06/06/2018,17 28 31 33 42 55,10,
03/21/2018,17 26 27 36 40 50,24,
02/21/2018,17 25 32 33 38 44,42,
11/01/2017,17 22 34 43 44 58,27,
09/20/2017,17 23 52 53 55 58,51,
09/02/2017,17 39 44 48 55 59,56,
07/12/2017,17 24 27 29 31 49,35,
08/31/2016,17 23 24 28 32 57,38,
08/27/2016,17 22 35 40 43 50,44,
07/11/2015,17 18 20 26 39 41,3,
03/14/2015,17 29 35 37 44 47,4,
03/05/2014,17 18 20 21 32 42,51,
01/29/2014,17 24 27 28 31 34,56,
01/11/2014,17 19 31 34 44 50,1,
01/04/2014,17 25 30 37 39 42,45,
11/14/2012,17 24 27 28 50 55,30,
09/26/2012,17 20 33 35 37 49,38,
05/14/2011,17 30 34 36 42 57,29,
02/09/2011,17 18 32 33 36 50,16,
11/24/2010,17 21 32 50 55 59,22,
11/20/2010,17 29 42 45 47 52,46,
09/26/2009,17 22 25 42 49 59,47,55
09/16/2009,17 29 30 43 52 59,36,5
01/21/2009,17 22 23 28 41 53,7,52
10/01/2008,17 31 45 48 49 55,1,16
05/28/2008,17 25 32 35 40 53,49,34
04/23/2008,17 24 25 26 42 54,27,4
12/22/2007,17 33 41 50 53 55,14,30
10/17/2007,17 28 31 39 52 53,46,59
04/28/2007,17 20 22 31 42 47,36,48
03/08/2006,17 20 21 30 39 50,18,
02/01/2006,17 32 41 43 45 59,54,
12/17/2005,17 28 29 37 43 48,47,
12/01/2004,17 42 45 50 51 52,56,
06/05/2004,17 20 23 36 51 59,57,
02/18/2004,17 19 29 37 40 50,23,
11/19/2003,17 26 31 39 47 50,41,
07/05/2003,17 28 31 32 39 59,49,
01/15/2003,17 19 20 22 31 50,26,
12/29/2001,17 26 35 47 55 57,53,
