Draw Date,Winning Numbers,Bonus #,Extra #
01/04/2025,10 13 38 42 49 54,1,
12/18/2024,10 17 24 26 44 53,22,
11/23/2024,10 14 29 36 41 55,44,
10/05/2024,10 33 34 39 41 46,12,
05/15/2024,10 36 39 40 50 52,9,
05/11/2024,10 12 14 24 31 39,30,
04/06/2024,10 25 38 51 52 56,37,
02/21/2024,10 28 32 33 35 39,26,
12/13/2023,10 17 22 40 47 50,35,
06/07/2023,10 15 41 44 49 54,2,
05/13/2023,10 15 26 31 38 44,45,
04/08/2023,10 15 22 33 36 41,52,
04/01/2023,10 13 16 39 51 52,6,
11/23/2022,10 22 36 37 39 55,11,
08/24/2022,10 29 33 51 58 59,38,
08/06/2022,10 21 25 35 40 45,7,
06/01/2022,10 26 39 46 48 58,8,
12/29/2021,10 13 14 15 27 56,26,
11/13/2021,10 21 24 49 52 55,58,
11/10/2021,10 15 20 29 31 49,21,
05/26/2021,10 11 19 32 46 58,4,
03/06/2021,10 26 35 38 41 51,52,
02/06/2021,10 27 31 36 49 56,38,
12/02/2020,10 30 32 37 38 54,47,
10/28/2020,10 16 18 30 49 50,59,
10/14/2020,10 35 36 42 54 55,48,
09/02/2020,10 13 17 39 52 58,23,
06/17/2020,10 16 21 30 31 56,18,
06/06/2020,10 17 22 37 39 49,25,
05/30/2020,10 17 34 35 38 45,36,
05/23/2020,10 17 20 26 33 53,43,
02/08/2020,10 29 32 33 34 36,5,
02/01/2020,10 16 36 38 42 55,32,
02/23/2019,10 20 33 40 54 56,52,
10/06/2018,10 12 29 41 48 57,56,
06/13/2018,10 31 41 44 51 58,46,
04/18/2018,10 27 28 29 51 56,7,
01/20/2018,10 15 24 44 45 55,22,
08/19/2017,10 25 30 31 36 58,51,
06/21/2017,10 14 29 30 33 37,4,
01/04/2017,10 19 29 30 33 56,5,
12/10/2016,10 18 30 44 50 56,37,
10/29/2016,10 13 40 44 51 55,46,
06/18/2016,10 21 30 38 45 59,49,
01/27/2016,10 36 46 48 54 56,30,
01/20/2016,10 16 17 21 33 58,18,
07/01/2015,10 15 27 38 39 41,29,
03/25/2015,10 11 23 45 51 52,48,
10/22/2014,10 13 21 35 43 56,51,
12/18/2013,10 14 26 33 39 48,50,
11/13/2013,10 18 33 40 45 46,48,
08/17/2013,10 17 18 49 58 59,57,
05/04/2013,10 17 24 25 52 53,13,
05/01/2013,10 17 19 42 44 49,53,
12/29/2012,10 13 22 30 40 57,7,
11/28/2012,10 11 30 40 42 59,37,
08/25/2012,10 30 32 48 50 52,5,
05/30/2012,10 17 23 27 30 50,44,
05/12/2012,10 24 28 35 43 55,31,
01/14/2012,10 22 23 40 46 52,39,
12/07/2011,10 20 28 29 51 52,6,
11/30/2011,10 11 15 17 23 26,42,
01/20/2010,10 20 35 40 47 52,37,2
12/30/2009,10 13 17 38 48 55,51,12
11/04/2009,10 17 26 28 31 53,47,21
10/14/2009,10 14 25 34 41 45,1,15
08/08/2009,10 21 28 32 43 53,14,38
04/04/2009,10 14 20 33 46 55,52,22
02/11/2009,10 11 16 24 42 54,28,37
01/14/2009,10 13 16 19 33 57,55,40
10/15/2008,10 11 25 43 51 55,18,38
07/16/2008,10 19 24 38 39 55,15,4
04/26/2008,10 15 17 37 41 53,14,9
03/29/2008,10 16 41 50 51 55,59,42
10/27/2007,10 15 39 45 50 59,36,42
11/08/2006,10 13 22 25 42 43,24,
10/14/2006,10 15 25 36 46 52,51,
04/12/2006,10 18 21 38 40 57,15,
02/04/2006,10 15 19 38 54 55,45,
01/04/2006,10 15 20 25 38 51,43,
12/14/2005,10 16 20 25 50 59,21,
11/12/2005,10 22 23 25 41 55,35,
10/15/2005,10 17 20 21 35 37,38,
08/31/2005,10 37 38 40 50 52,57,
08/10/2005,10 12 15 30 45 57,11,
01/08/2005,10 37 38 43 49 50,17,
07/10/2004,10 22 25 31 38 44,23,
11/08/2003,10 11 32 34 35 46,50,
09/24/2003,10 14 18 30 33 55,54,
08/20/2003,10 14 18 22 33 57,44,
07/12/2003,10 25 32 44 51 58,52,
04/05/2003,10 22 25 33 34 54,7,
04/02/2003,10 14 24 43 45 53,37,
03/08/2003,10 12 16 20 28 47,2,
01/25/2003,10 12 34 45 51 55,48,
12/24/2002,10 15 29 34 36 43,2,
05/01/2002,10 20 30 31 42 49,4,
11/28/2001,10 25 35 45 48 49,43,
