Draw Date,Winning Numbers,Bonus #,Extra #
02/01/2025,19 29 31 42 51 52,39,
01/21/2023,19 25 40 45 51 57,3,
12/24/2022,19 20 21 23 27 37,50,
03/02/2022,19 20 37 41 47 55,31,
09/18/2021,19 23 30 38 49 58,24,
12/09/2020,19 20 34 40 46 49,48,
10/03/2020,19 20 24 42 44 56,37,
07/01/2020,19 28 38 48 52 53,56,
06/13/2020,19 26 30 37 40 41,7,
03/04/2020,19 34 37 39 54 59,6,
12/11/2019,19 24 25 29 36 38,59,
09/07/2019,19 31 44 47 48 55,15,
05/09/2018,19 36 48 51 52 54,38,
04/04/2018,19 23 32 35 38 56,47,
08/05/2017,19 32 33 34 44 54,20,
07/29/2017,19 21 22 28 41 42,38,
05/18/2016,19 26 42 47 49 59,17,
06/13/2015,19 32 41 44 50 59,49,
01/28/2015,19 24 36 37 47 53,1,
08/30/2014,19 22 29 33 37 54,25,
07/16/2014,19 20 25 29 30 55,39,
06/22/2013,19 36 37 44 54 55,11,
03/16/2013,19 37 39 47 51 53,28,
02/27/2013,19 31 37 40 43 54,4,
07/18/2012,19 25 37 51 55 56,23,
01/16/2010,19 21 27 39 48 49,53,16
12/02/2009,19 30 37 53 54 57,3,4
10/10/2009,19 23 36 37 38 42,10,56
09/12/2009,19 22 27 45 50 52,17,8
06/27/2009,19 36 38 42 43 45,20,29
06/24/2009,19 29 35 42 49 59,30,9
05/03/2008,19 28 30 34 51 52,54,31
12/01/2007,19 33 45 49 52 57,20,53
05/26/2007,19 21 29 35 47 57,51,3
07/26/2006,19 32 34 37 41 53,25,
02/08/2006,19 26 41 52 54 58,7,
09/24/2005,19 27 36 45 53 55,30,
12/29/2004,19 20 41 42 44 54,23,
04/21/2004,19 26 28 29 48 57,6,
02/15/2003,19 23 28 41 43 55,59,
11/16/2002,19 30 36 39 46 47,5,
12/22/2001,19 20 25 36 38 53,47,
