Draw Date,Winning Numbers,Bonus #,Extra #
12/28/2024,12 13 19 30 41 48,25,
10/30/2024,12 20 26 38 52 58,59,
07/03/2024,12 28 31 36 47 48,51,
06/12/2024,12 16 26 37 45 46,38,
01/03/2024,12 15 16 34 40 58,13,
11/25/2023,12 18 29 34 48 56,53,
09/13/2023,12 17 33 38 50 59,23,
07/12/2023,12 33 36 43 54 55,23,
05/17/2023,12 13 22 36 37 46,23,
09/03/2022,12 28 30 40 43 52,17,
08/27/2022,12 19 30 31 47 57,53,
04/09/2022,12 18 24 27 51 53,45,
03/12/2022,12 19 22 34 50 56,7,
01/22/2022,12 15 19 24 34 57,20,
08/21/2021,12 13 14 32 47 48,51,
07/29/2020,12 17 21 29 48 56,53,
04/22/2020,12 18 25 28 32 51,17,
07/20/2019,12 15 30 32 51 58,31,
06/22/2019,12 42 46 51 53 57,55,
04/13/2019,12 20 35 39 50 53,34,
02/27/2019,12 18 22 36 41 48,24,
10/13/2018,12 15 20 26 39 58,28,
08/25/2018,12 31 38 48 49 54,40,
08/18/2018,12 24 27 30 40 53,29,
05/23/2018,12 18 19 41 54 56,11,
10/28/2017,12 19 33 35 46 47,1,
08/26/2017,12 25 32 33 47 55,48,
08/16/2017,12 13 27 54 55 56,3,
05/17/2017,12 20 22 26 37 59,53,
01/11/2017,12 13 16 49 50 59,31,
12/03/2016,12 42 49 53 54 59,20,
11/12/2016,12 22 28 30 48 59,4,
09/17/2016,12 13 21 50 56 58,41,
04/13/2016,12 23 25 29 42 46,9,
11/04/2015,12 14 21 45 50 55,53,
09/26/2015,12 14 23 42 55 58,13,
01/21/2015,12 19 35 41 56 58,29,
11/19/2014,12 27 30 32 43 50,42,
01/15/2014,12 25 45 50 55 56,28,
08/10/2013,12 23 30 31 46 52,59,
07/27/2013,12 17 20 23 40 58,21,
04/20/2013,12 15 27 43 49 53,36,
03/13/2013,12 17 21 30 50 59,33,
12/19/2012,12 21 29 33 42 54,39,
11/07/2012,12 17 21 23 26 51,34,
10/31/2012,12 15 32 44 51 56,3,
07/28/2012,12 19 36 43 47 51,4,
02/08/2012,12 13 19 22 47 48,49,
12/03/2011,12 20 30 50 54 55,13,
10/19/2011,12 24 33 46 54 59,37,
08/06/2011,12 18 32 40 50 52,59,
04/06/2011,12 19 25 38 50 55,23,
12/29/2010,12 28 31 41 42 59,17,
11/10/2010,12 27 39 41 45 51,50,
10/27/2010,12 13 24 35 39 41,11,
10/06/2010,12 28 34 45 46 56,8,
03/24/2010,12 16 29 42 49 52,7,50
03/17/2010,12 29 30 42 52 54,19,47
12/19/2009,12 15 20 32 36 44,47,14
06/20/2009,12 21 28 37 44 58,26,16
04/15/2009,12 25 29 30 37 53,5,42
02/04/2009,12 16 24 40 44 48,54,53
01/24/2009,12 20 26 31 57 59,25,22
01/07/2009,12 17 38 48 55 57,58,21
11/01/2008,12 24 26 44 47 52,48,29
09/20/2008,12 13 17 26 35 43,37,31
03/05/2008,12 14 40 41 44 57,35,29
01/05/2008,12 18 28 40 45 57,9,1
09/01/2007,12 16 21 39 43 51,58,11
06/30/2007,12 17 18 38 47 59,1,20
06/20/2007,12 16 27 28 34 39,45,22
12/27/2006,12 18 36 41 49 53,33,
03/29/2006,12 17 25 32 48 55,14,
02/22/2006,12 15 16 23 40 48,1,
01/14/2006,12 15 29 47 55 57,11,
11/16/2005,12 23 27 31 58 59,52,
07/06/2005,12 13 16 24 25 39,30,
06/18/2005,12 25 31 40 41 53,57,
06/02/2004,12 19 23 33 54 55,24,
04/24/2004,12 16 22 34 42 54,44,
02/07/2004,12 16 23 38 54 55,42,
05/31/2003,12 16 33 42 50 59,3,
05/10/2003,12 24 32 49 52 56,37,
03/05/2003,12 13 14 31 34 48,51,
01/08/2003,12 15 31 40 45 50,1,
06/05/2002,12 15 31 40 47 59,55,
