Draw Date,Winning Numbers,Bonus #,Extra #
02/08/2025,01 12 41 51 52 55,14,
02/05/2025,01 07 09 20 43 58,2,
01/29/2025,01 03 04 13 15 18,31,
11/06/2024,01 07 27 40 52 59,44,
09/25/2024,01 09 36 46 51 56,29,
09/21/2024,01 08 18 41 48 57,3,
09/14/2024,01 05 07 15 31 41,52,
09/04/2024,01 07 31 32 42 52,22,
05/18/2024,01 14 24 30 38 51,26,
04/20/2024,01 04 14 28 31 58,59,
04/13/2024,01 16 18 33 51 57,29,
03/02/2024,01 13 16 37 47 50,28,
01/06/2024,01 10 19 22 32 50,54,
11/08/2023,01 04 16 24 27 35,22,
10/25/2023,01 29 44 46 50 57,8,
09/20/2023,01 16 20 23 34 45,26,
09/09/2023,01 09 23 52 53 57,40,
06/14/2023,01 09 21 22 31 42,12,
06/10/2023,01 04 11 23 33 34,12,
04/26/2023,01 18 22 32 33 37,26,
04/15/2023,01 10 24 35 38 48,49,
03/29/2023,01 02 07 11 13 25,53,
03/01/2023,01 02 30 38 49 55,18,
11/05/2022,01 08 22 24 44 46,12,
10/08/2022,01 07 17 38 44 54,49,
10/05/2022,01 42 48 50 52 59,20,
09/07/2022,01 04 16 26 35 48,17,
06/11/2022,01 12 13 16 17 49,34,
05/04/2022,01 05 22 23 45 49,19,
04/23/2022,01 11 17 27 49 58,31,
04/06/2022,01 05 16 17 21 23,11,
03/30/2022,01 16 24 40 56 59,50,
03/05/2022,01 11 21 38 39 52,44,
02/16/2022,01 08 16 29 39 51,40,
10/23/2021,01 02 08 30 42 45,15,
09/25/2021,01 02 10 21 40 57,9,
09/22/2021,01 12 23 29 49 59,42,
08/14/2021,01 02 23 27 38 49,56,
06/30/2021,01 12 23 28 29 57,32,
06/23/2021,01 07 08 14 27 29,22,
06/19/2021,01 03 07 11 22 37,27,
05/29/2021,01 32 38 42 45 53,25,
05/15/2021,01 06 19 39 49 57,50,
03/27/2021,01 04 07 14 23 52,3,
03/24/2021,01 10 20 29 48 57,45,
12/30/2020,01 10 37 49 53 57,46,
12/23/2020,01 07 16 21 43 45,34,
12/19/2020,01 09 14 21 56 57,18,
08/19/2020,01 03 09 33 35 52,46,
08/01/2020,01 13 27 30 49 58,42,
06/20/2020,01 10 25 29 53 58,27,
05/13/2020,01 33 41 42 43 56,49,
05/02/2020,01 22 24 27 37 51,30,
04/18/2020,01 19 29 36 45 56,59,
03/18/2020,01 14 15 33 38 49,37,
01/22/2020,01 15 36 41 44 50,57,
12/07/2019,01 14 19 20 29 38,39,
11/23/2019,01 08 10 24 32 36,54,
10/26/2019,01 12 19 31 41 47,6,
09/28/2019,01 13 29 38 46 59,9,
09/14/2019,01 09 14 22 24 25,52,
08/28/2019,01 05 06 07 16 48,25,
08/14/2019,01 02 33 38 48 55,21,
06/01/2019,01 10 13 23 31 32,29,
03/16/2019,01 04 27 40 44 58,22,
01/30/2019,01 22 36 44 49 59,41,
12/19/2018,01 20 22 24 34 39,10,
12/05/2018,01 11 24 37 44 50,13,
11/24/2018,01 10 14 17 46 56,3,
10/17/2018,01 05 08 43 50 51,14,
09/22/2018,01 02 15 17 27 56,58,
08/29/2018,01 15 19 50 52 53,14,
05/30/2018,01 25 36 40 56 57,58,
05/12/2018,01 26 40 42 47 55,20,
