Draw Date,Winning Numbers,Bonus #,Extra #
07/06/2024,14 25 39 41 48 56,6,
02/03/2024,14 21 27 34 50 58,11,
08/05/2023,14 27 28 31 45 52,38,
04/29/2023,14 27 31 34 42 48,29,
03/23/2022,14 30 35 38 47 51,45,
02/12/2022,14 16 17 21 35 58,9,
01/15/2022,14 16 46 47 53 55,39,
12/22/2021,14 20 21 41 43 58,15,
10/16/2021,14 15 17 33 37 49,39,
10/06/2021,14 16 17 28 37 56,33,
04/17/2021,14 15 22 30 35 48,16,
02/17/2021,14 21 22 24 26 51,37,
09/26/2020,14 19 20 23 55 57,22,
06/27/2020,14 19 31 43 53 58,25,
12/18/2019,14 21 24 37 45 46,29,
12/14/2019,14 21 36 38 42 56,39,
11/30/2019,14 30 39 51 52 53,37,
07/24/2019,14 21 22 27 44 48,52,
06/19/2019,14 23 24 50 56 58,38,
07/21/2018,14 16 26 47 52 55,49,
06/27/2018,14 17 22 49 57 59,16,
04/05/2017,14 15 21 23 41 50,55,
10/22/2016,14 26 30 35 50 56,48,
07/16/2016,14 21 27 36 53 56,3,
06/25/2016,14 27 30 31 50 52,15,
04/08/2015,14 39 41 48 55 56,40,
02/18/2015,14 15 29 53 55 59,18,
10/29/2014,14 27 43 45 46 50,22,
02/01/2014,14 18 25 35 38 53,44,
10/30/2013,14 16 27 29 52 58,6,
05/11/2013,14 25 42 47 51 56,16,
08/11/2012,14 24 25 34 42 43,18,
02/29/2012,14 33 35 39 44 57,20,
09/17/2011,14 16 31 38 43 54,30,
09/07/2011,14 16 19 30 37 40,57,
01/01/2011,14 16 18 23 27 54,57,
07/29/2009,14 25 45 48 52 56,18,13
03/07/2009,14 25 28 36 49 59,54,20
09/17/2008,14 15 23 37 40 57,54,39
09/03/2008,14 32 40 41 54 57,34,35
08/20/2008,14 20 30 38 40 59,31,24
02/09/2008,14 33 41 43 44 47,36,26
07/18/2007,14 22 28 30 31 38,21,46
05/30/2007,14 23 36 38 45 57,17,16
03/03/2007,14 19 20 31 50 52,54,46
02/10/2007,14 27 35 37 49 50,16,
03/01/2006,14 22 37 42 50 59,5,
09/21/2005,14 17 21 22 26 58,45,
07/27/2005,14 19 29 34 40 52,31,
03/02/2005,14 34 47 50 51 56,21,
02/16/2005,14 19 32 46 48 55,47,
12/11/2004,14 15 23 32 45 47,3,
06/19/2004,14 21 40 49 53 58,20,
02/25/2004,14 16 27 39 47 48,35,
04/26/2003,14 16 25 26 27 35,48,
09/21/2002,14 35 36 44 51 58,50,
06/12/2002,14 20 21 47 51 54,43,
02/16/2002,14 17 23 25 39 45,16,
02/13/2002,14 30 33 45 52 59,34,
